"Step","final_TIMIT_ewt_dual_NoC4_b01_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b01_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b01_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b0_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b0_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b0_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b01_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b01_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b01_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - gaussian_total_correlation_norm all phoneme speaker_frame__MAX"
"14","0.15457127327656536","0.15457127327656536","0.15457127327656536","0.2364789812529183","0.2364789812529183","0.2364789812529183","0.18442634080345358","0.18442634080345358","0.18442634080345358","0.18571509097028122","0.18571509097028122","0.18571509097028122","0.14750043965087747","0.14750043965087747","0.14750043965087747","","",""
"28","","","","","","","","","","","","","","","","0.21727200633237714","0.21727200633237714","0.21727200633237714"
