"Step","final_TIMIT_ewt_dual_NoC4_b01_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b01_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b01_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b0_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b0_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b0_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b01_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b01_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b01_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - informativeness_test all phoneme speaker_frame__MAX"
"5","","","","","","","","","","","","","","","","0.4079019164262947","0.4079019164262947","0.4079019164262947"
"6","0.37600053900236946","0.37600053900236946","0.37600053900236946","0.3827150219267014","0.3827150219267014","0.3827150219267014","0.4905422647458556","0.4905422647458556","0.4905422647458556","0.4723962418022948","0.4723962418022948","0.4723962418022948","0.39370367031115955","0.39370367031115955","0.39370367031115955","","",""
