"Step","final_TIMIT_ewt_dual_NoC4_b01_50% - modularity_score all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b01_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b01_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b0_50% - modularity_score all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b0_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b0_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - modularity_score all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b01_50% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b01_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b01_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - modularity_score all phoneme speaker_frame__MAX"
"10","0.5753876713718288","0.5753876713718288","0.5753876713718288","0.6503161610673202","0.6503161610673202","0.6503161610673202","0.5688449222725706","0.5688449222725706","0.5688449222725706","0.541462220012321","0.541462220012321","0.541462220012321","0.7394786195655575","0.7394786195655575","0.7394786195655575","","",""
"16","","","","","","","","","","","","","","","","0.6571829458014178","0.6571829458014178","0.6571829458014178"
