"Step","final_TIMIT_ewt_dual_NoC4_b01_50% - disentanglement all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b01_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b01_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b0_50% - disentanglement all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b0_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b0_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - disentanglement all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b01_50% - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b01_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b01_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - disentanglement all phoneme speaker_frame__MAX"
"7","0.25561486464019395","0.25561486464019395","0.25561486464019395","0.2542706066551733","0.2542706066551733","0.2542706066551733","0.20265854004933384","0.20265854004933384","0.20265854004933384","0.23250782972680212","0.23250782972680212","0.23250782972680212","0.17166392536222977","0.17166392536222977","0.17166392536222977","","",""
"8","","","","","","","","","","","","","","","","0.23037449859513776","0.23037449859513776","0.23037449859513776"
