"Step","VOWELS_FILTER_b1_Z_bs16 - loss","VOWELS_FILTER_b1_Z_bs16 - loss__MIN","VOWELS_FILTER_b1_Z_bs16 - loss__MAX","VOWELS_FILTER_b1_S_bs16 - loss","VOWELS_FILTER_b1_S_bs16 - loss__MIN","VOWELS_FILTER_b1_S_bs16 - loss__MAX","VOWELS_FILTER_b0.1_Z_bs16 - loss","VOWELS_FILTER_b0.1_Z_bs16 - loss__MIN","VOWELS_FILTER_b0.1_Z_bs16 - loss__MAX","VOWELS_FILTER_b0_Z_bs16 - loss","VOWELS_FILTER_b0_Z_bs16 - loss__MIN","VOWELS_FILTER_b0_Z_bs16 - loss__MAX"
"0","44.7471809387207","44.7471809387207","44.7471809387207","27.510162353515625","27.510162353515625","27.510162353515625","7.805144786834717","7.805144786834717","7.805144786834717","2.640787363052368","2.640787363052368","2.640787363052368"
"2","23.86142349243164","23.86142349243164","23.86142349243164","11.970958709716797","11.970958709716797","11.970958709716797","5.9197797775268555","5.9197797775268555","5.9197797775268555","1.2263193130493164","1.2263193130493164","1.2263193130493164"
"4","12.121603012084961","12.121603012084961","12.121603012084961","10.802925109863281","10.802925109863281","10.802925109863281","2.472956657409668","2.472956657409668","2.472956657409668","0.9694686532020569","0.9694686532020569","0.9694686532020569"
"6","6.964378356933594","6.964378356933594","6.964378356933594","10.999571800231934","10.999571800231934","10.999571800231934","1.5842523574829102","1.5842523574829102","1.5842523574829102","0.9238810539245605","0.9238810539245605","0.9238810539245605"
"8","3.5277891159057617","3.5277891159057617","3.5277891159057617","9.877208709716797","9.877208709716797","9.877208709716797","1.344815969467163","1.344815969467163","1.344815969467163","0.8326531648635864","0.8326531648635864","0.8326531648635864"
"10","2.0106303691864014","2.0106303691864014","2.0106303691864014","11.206130027770996","11.206130027770996","11.206130027770996","1.0781853199005127","1.0781853199005127","1.0781853199005127","0.8203139901161194","0.8203139901161194","0.8203139901161194"
"12","1.9219448566436768","1.9219448566436768","1.9219448566436768","9.823223114013672","9.823223114013672","9.823223114013672","1.0601372718811035","1.0601372718811035","1.0601372718811035","0.810063898563385","0.810063898563385","0.810063898563385"
"14","1.3608436584472656","1.3608436584472656","1.3608436584472656","8.288431167602539","8.288431167602539","8.288431167602539","0.8831045031547546","0.8831045031547546","0.8831045031547546","0.6955373287200928","0.6955373287200928","0.6955373287200928"
"16","1.316512107849121","1.316512107849121","1.316512107849121","7.79585075378418","7.79585075378418","7.79585075378418","0.9397910833358765","0.9397910833358765","0.9397910833358765","0.714572012424469","0.714572012424469","0.714572012424469"
"18","1.1682288646697998","1.1682288646697998","1.1682288646697998","7.02248477935791","7.02248477935791","7.02248477935791","0.8690893650054932","0.8690893650054932","0.8690893650054932","0.642476499080658","0.642476499080658","0.642476499080658"
"20","1.1607165336608887","1.1607165336608887","1.1607165336608887","6.619863033294678","6.619863033294678","6.619863033294678","0.8864686489105225","0.8864686489105225","0.8864686489105225","0.6171369552612305","0.6171369552612305","0.6171369552612305"
"22","1.1873347759246826","1.1873347759246826","1.1873347759246826","6.128667831420898","6.128667831420898","6.128667831420898","0.9178279042243958","0.9178279042243958","0.9178279042243958","0.6570544242858887","0.6570544242858887","0.6570544242858887"
"24","1.0469118356704712","1.0469118356704712","1.0469118356704712","6.379351615905762","6.379351615905762","6.379351615905762","0.8512440323829651","0.8512440323829651","0.8512440323829651","0.6278658509254456","0.6278658509254456","0.6278658509254456"
"26","1.0852819681167603","1.0852819681167603","1.0852819681167603","5.548959732055664","5.548959732055664","5.548959732055664","0.868923008441925","0.868923008441925","0.868923008441925","0.5983604788780212","0.5983604788780212","0.5983604788780212"
"28","1.0178658962249756","1.0178658962249756","1.0178658962249756","5.774197578430176","5.774197578430176","5.774197578430176","0.7709934711456299","0.7709934711456299","0.7709934711456299","0.6249016523361206","0.6249016523361206","0.6249016523361206"
"30","1.0035494565963745","1.0035494565963745","1.0035494565963745","5.572679042816162","5.572679042816162","5.572679042816162","0.7580779194831848","0.7580779194831848","0.7580779194831848","0.581339955329895","0.581339955329895","0.581339955329895"
"32","1.0125887393951416","1.0125887393951416","1.0125887393951416","5.804558753967285","5.804558753967285","5.804558753967285","0.7222890853881836","0.7222890853881836","0.7222890853881836","0.5632938146591187","0.5632938146591187","0.5632938146591187"
"34","1.0409982204437256","1.0409982204437256","1.0409982204437256","5.943402290344238","5.943402290344238","5.943402290344238","0.7562459111213684","0.7562459111213684","0.7562459111213684","0.5572496056556702","0.5572496056556702","0.5572496056556702"
"36","0.9836015105247498","0.9836015105247498","0.9836015105247498","5.143392562866211","5.143392562866211","5.143392562866211","0.7212833166122437","0.7212833166122437","0.7212833166122437","0.5977432727813721","0.5977432727813721","0.5977432727813721"
