"Step","VOWELS_FILTER_b1_S_bs16 - prior_loss_s","VOWELS_FILTER_b1_S_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_S_bs16 - prior_loss_s__MAX"
"72","1.0658323764801025","1.0658323764801025","1.0658323764801025"
"74","0.9465545415878296","0.9465545415878296","0.9465545415878296"
"76","0.8350223302841187","0.8350223302841187","0.8350223302841187"
"78","1.344543695449829","1.344543695449829","1.344543695449829"
"80","0.9339660406112671","0.9339660406112671","0.9339660406112671"
"82","1.0892093181610107","1.0892093181610107","1.0892093181610107"
"84","0.539940595626831","0.539940595626831","0.539940595626831"
"86","1.1964529752731323","1.1964529752731323","1.1964529752731323"
"88","1.0137826204299927","1.0137826204299927","1.0137826204299927"
"90","0.6787717342376709","0.6787717342376709","0.6787717342376709"
"92","0.8742213249206543","0.8742213249206543","0.8742213249206543"
"94","0.23177862167358398","0.23177862167358398","0.23177862167358398"
"96","0.10503828525543213","0.10503828525543213","0.10503828525543213"
"98","0.4066556692123413","0.4066556692123413","0.4066556692123413"
"100","0.8017420768737793","0.8017420768737793","0.8017420768737793"
"102","0.516173243522644","0.516173243522644","0.516173243522644"
"104","0.5222350358963013","0.5222350358963013","0.5222350358963013"
"106","0.1509159803390503","0.1509159803390503","0.1509159803390503"
"108","0.11202096939086914","0.11202096939086914","0.11202096939086914"
"110","0.16236305236816406","0.16236305236816406","0.16236305236816406"
"112","0.479888916015625","0.479888916015625","0.479888916015625"
"114","0.36713480949401855","0.36713480949401855","0.36713480949401855"
"116","0.46000778675079346","0.46000778675079346","0.46000778675079346"
"118","0.32068490982055664","0.32068490982055664","0.32068490982055664"
"120","0.19145309925079346","0.19145309925079346","0.19145309925079346"
"122","0.15220940113067627","0.15220940113067627","0.15220940113067627"
"124","0.2576470375061035","0.2576470375061035","0.2576470375061035"
"126","0.2349257469177246","0.2349257469177246","0.2349257469177246"
"128","0.20380914211273193","0.20380914211273193","0.20380914211273193"
"130","0.12330710887908936","0.12330710887908936","0.12330710887908936"
"132","0.10125935077667236","0.10125935077667236","0.10125935077667236"
"134","0.18501877784729004","0.18501877784729004","0.18501877784729004"
"136","0.13557970523834229","0.13557970523834229","0.13557970523834229"
"138","0.18497109413146973","0.18497109413146973","0.18497109413146973"
"140","0.17922818660736084","0.17922818660736084","0.17922818660736084"
"142","0.17416179180145264","0.17416179180145264","0.17416179180145264"
"144","0.1709967851638794","0.1709967851638794","0.1709967851638794"
"146","0.13557076454162598","0.13557076454162598","0.13557076454162598"
"148","0.21888017654418945","0.21888017654418945","0.21888017654418945"
"150","0.1318037509918213","0.1318037509918213","0.1318037509918213"
"152","0.06288588047027588","0.06288588047027588","0.06288588047027588"
"154","0.03019869327545166","0.03019869327545166","0.03019869327545166"
"156","0.11231303215026855","0.11231303215026855","0.11231303215026855"
"158","0.13859272003173828","0.13859272003173828","0.13859272003173828"
"160","0.05556046962738037","0.05556046962738037","0.05556046962738037"
"162","0.07247030735015869","0.07247030735015869","0.07247030735015869"
"164","0.0263899564743042","0.0263899564743042","0.0263899564743042"
"166","0.03342032432556152","0.03342032432556152","0.03342032432556152"
"168","0.024574995040893555","0.024574995040893555","0.024574995040893555"
"170","0.01607537269592285","0.01607537269592285","0.01607537269592285"
"172","0.05074441432952881","0.05074441432952881","0.05074441432952881"
"174","0.011458992958068848","0.011458992958068848","0.011458992958068848"
"176","0.03960728645324707","0.03960728645324707","0.03960728645324707"
"178","0.017780065536499023","0.017780065536499023","0.017780065536499023"
"180","0.017207860946655273","0.017207860946655273","0.017207860946655273"
"182","0.013369321823120117","0.013369321823120117","0.013369321823120117"
"184","0.010779500007629395","0.010779500007629395","0.010779500007629395"
"186","0.009593367576599121","0.009593367576599121","0.009593367576599121"
"188","0.005233287811279297","0.005233287811279297","0.005233287811279297"
"190","0.0055283308029174805","0.0055283308029174805","0.0055283308029174805"
"192","0.005486607551574707","0.005486607551574707","0.005486607551574707"
"194","0.0047147274017333984","0.0047147274017333984","0.0047147274017333984"
"196","0.004708766937255859","0.004708766937255859","0.004708766937255859"
"198","0.005602836608886719","0.005602836608886719","0.005602836608886719"
