"Step","VOWELS_FILTER_b1_S_bs16 - prior_loss_s","VOWELS_FILTER_b1_S_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_S_bs16 - prior_loss_s__MAX"
"0","20.560976028442383","20.560976028442383","20.560976028442383"
"2","4.059693336486816","4.059693336486816","4.059693336486816"
"4","3.007230281829834","3.007230281829834","3.007230281829834"
"6","3.4407825469970703","3.4407825469970703","3.4407825469970703"
"8","2.956116199493408","2.956116199493408","2.956116199493408"
"10","5.188572406768799","5.188572406768799","5.188572406768799"
"12","5.121621608734131","5.121621608734131","5.121621608734131"
"14","5.007368087768555","5.007368087768555","5.007368087768555"
"16","5.204853534698486","5.204853534698486","5.204853534698486"
"18","4.904773712158203","4.904773712158203","4.904773712158203"
"20","4.834649085998535","4.834649085998535","4.834649085998535"
"22","4.401129722595215","4.401129722595215","4.401129722595215"
"24","4.591450214385986","4.591450214385986","4.591450214385986"
"26","3.8603811264038086","3.8603811264038086","3.8603811264038086"
"28","4.131409645080566","4.131409645080566","4.131409645080566"
"30","4.050061225891113","4.050061225891113","4.050061225891113"
"32","4.128220558166504","4.128220558166504","4.128220558166504"
"34","4.467555999755859","4.467555999755859","4.467555999755859"
"36","3.7102670669555664","3.7102670669555664","3.7102670669555664"
"38","4.721304893493652","4.721304893493652","4.721304893493652"
"40","3.8531601428985596","3.8531601428985596","3.8531601428985596"
"42","3.2481937408447266","3.2481937408447266","3.2481937408447266"
"44","3.0735373497009277","3.0735373497009277","3.0735373497009277"
"46","3.0968575477600098","3.0968575477600098","3.0968575477600098"
"48","2.4675488471984863","2.4675488471984863","2.4675488471984863"
"50","2.6222586631774902","2.6222586631774902","2.6222586631774902"
"52","2.286937713623047","2.286937713623047","2.286937713623047"
"54","2.3901760578155518","2.3901760578155518","2.3901760578155518"
"56","1.533520221710205","1.533520221710205","1.533520221710205"
"58","1.6770094633102417","1.6770094633102417","1.6770094633102417"
"60","1.8423140048980713","1.8423140048980713","1.8423140048980713"
"62","1.7393678426742554","1.7393678426742554","1.7393678426742554"
"64","1.5879631042480469","1.5879631042480469","1.5879631042480469"
"66","1.908951997756958","1.908951997756958","1.908951997756958"
"68","1.0664939880371094","1.0664939880371094","1.0664939880371094"
"70","1.4651119709014893","1.4651119709014893","1.4651119709014893"
