"Step","final_TIMIT_filter_dual_NoC4_b0_40% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_40% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_40% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_30% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_30% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_30% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_10% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_10% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_10% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_20% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_20% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_20% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_60% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_60% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_60% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_80% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_80% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_80% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - IRS all speaker_seq__MAX"
"20","0.6022473848776062","0.6022473848776062","0.6022473848776062","0.582096657339733","0.582096657339733","0.582096657339733","0.553242127608402","0.553242127608402","0.553242127608402","0.591652096533872","0.591652096533872","0.591652096533872","0.596469684740639","0.596469684740639","0.596469684740639","0.6019013031472046","0.6019013031472046","0.6019013031472046","","","","","","","","",""
"62","","","","","","","","","","","","","","","","","","","0.6345026326739707","0.6345026326739707","0.6345026326739707","0.633128241388911","0.633128241388911","0.633128241388911","0.6408320650632287","0.6408320650632287","0.6408320650632287"
