"Step","final_TIMIT_filter_dual_NoC4_b0_40% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_40% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_40% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_30% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_30% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_30% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_10% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_10% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_10% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_20% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_20% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_20% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_60% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_60% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_60% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_80% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_80% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_80% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - gaussian_total_correlation_norm all speaker_seq__MAX"
"22","0.4708768134522544","0.4708768134522544","0.4708768134522544","0.49047848979494024","0.49047848979494024","0.49047848979494024","0.4518525909316026","0.4518525909316026","0.4518525909316026","0.4719870908341747","0.4719870908341747","0.4719870908341747","0.4809808872649151","0.4809808872649151","0.4809808872649151","0.4707688113990477","0.4707688113990477","0.4707688113990477","","","","","","","","",""
"66","","","","","","","","","","","","","","","","","","","0.47779384923744833","0.47779384923744833","0.47779384923744833","0.47148261867144653","0.47148261867144653","0.47148261867144653","0.47851841220052393","0.47851841220052393","0.47851841220052393"
