"Step","final_TIMIT_filter_dual_NoC5_b1_50% - informativeness_test all speaker_seq","final_TIMIT_filter_dual_NoC5_b1_50% - informativeness_test all speaker_seq__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - informativeness_test all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - informativeness_test all speaker_seq","final_TIMIT_ewt_dual_NoC3_b1_50% - informativeness_test all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - informativeness_test all speaker_seq__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - informativeness_test all speaker_seq","final_TIMIT_filter_dual_NoC3_b1_50% - informativeness_test all speaker_seq__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - informativeness_test all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - informativeness_test all speaker_seq","final_TIMIT_filter_dual_NoC4_b1_50%_disent - informativeness_test all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - informativeness_test all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - informativeness_test all speaker_seq","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - informativeness_test all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - informativeness_test all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all speaker_seq","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all speaker_seq__MAX"
"12","","","","","","","","","","0.02026776812419883","0.02026776812419883","0.02026776812419883","0.03208944594787068","0.03208944594787068","0.03208944594787068","","",""
"17","0.033798604187437686","0.033798604187437686","0.033798604187437686","0.033770118216778236","0.033770118216778236","0.033770118216778236","0.035436547500356075","0.035436547500356075","0.035436547500356075","","","","","","","0.03374163224611879","0.03374163224611879","0.03374163224611879"
