"Step","final_TIMIT_filter_dual_NoC5_b1_50% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC5_b1_50% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_ewt_dual_NoC3_b1_50% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC3_b1_50% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_filter_dual_NoC4_b1_50%_disent - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - gaussian_total_correlation_norm all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all speaker_seq","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all speaker_seq__MAX"
"17","","","","","","","","","","0.10232660588964787","0.10232660588964787","0.10232660588964787","0.0967845094736357","0.0967845094736357","0.0967845094736357","","",""
"22","0.1555080884665173","0.1555080884665173","0.1555080884665173","0.09928008327475514","0.09928008327475514","0.09928008327475514","0.10870498766413109","0.10870498766413109","0.10870498766413109","","","","","","","0.16520451878117182","0.16520451878117182","0.16520451878117182"
