"Step","final_TIMIT_filter_dual_NoC5_b1_50% - mutual_info_score all speaker_seq","final_TIMIT_filter_dual_NoC5_b1_50% - mutual_info_score all speaker_seq__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - mutual_info_score all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - mutual_info_score all speaker_seq","final_TIMIT_ewt_dual_NoC3_b1_50% - mutual_info_score all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - mutual_info_score all speaker_seq__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - mutual_info_score all speaker_seq","final_TIMIT_filter_dual_NoC3_b1_50% - mutual_info_score all speaker_seq__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - mutual_info_score all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - mutual_info_score all speaker_seq","final_TIMIT_filter_dual_NoC4_b1_50%_disent - mutual_info_score all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - mutual_info_score all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - mutual_info_score all speaker_seq","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - mutual_info_score all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - mutual_info_score all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - mutual_info_score all speaker_seq","final_TIMIT_ewt_dual_NoC4_b1_50% - mutual_info_score all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - mutual_info_score all speaker_seq__MAX"
"18","","","","","","","","","","0.030729986584193483","0.030729986584193483","0.030729986584193483","0.009936404124572909","0.009936404124572909","0.009936404124572909","","",""
"23","0.018313293402840058","0.018313293402840058","0.018313293402840058","0.02844797496392816","0.02844797496392816","0.02844797496392816","0.036042366601029774","0.036042366601029774","0.036042366601029774","","","","","","","0.03429253096248898","0.03429253096248898","0.03429253096248898"
