"Step","final_TIMIT_filter_dual_NoC5_b1_50% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC5_b1_50% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - IRS all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - IRS all speaker_seq","final_TIMIT_ewt_dual_NoC3_b1_50% - IRS all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - IRS all speaker_seq","final_TIMIT_filter_dual_NoC3_b1_50% - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - IRS all speaker_seq__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - IRS all speaker_seq","final_TIMIT_filter_dual_NoC4_b1_50%_disent - IRS all speaker_seq__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - IRS all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - IRS all speaker_seq","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - IRS all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - IRS all speaker_seq__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - IRS all speaker_seq","final_TIMIT_ewt_dual_NoC4_b1_50% - IRS all speaker_seq__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - IRS all speaker_seq__MAX"
"15","","","","","","","","","","0.7106952840448582","0.7106952840448582","0.7106952840448582","0.6677132824249544","0.6677132824249544","0.6677132824249544","","",""
"20","0.6037140337704701","0.6037140337704701","0.6037140337704701","0.6955553206224611","0.6955553206224611","0.6955553206224611","0.86145486068262","0.86145486068262","0.86145486068262","","","","","","","0.7127077636255426","0.7127077636255426","0.7127077636255426"
