"Step","VOWELS_FILTER_b40_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_b40_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - div_3_2_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_b20_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - div_3_2_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_b10_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - div_3_2_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_b0_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - div_3_2_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_2_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_b1_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - div_3_2_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_2_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_2_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_2_s__MAX"
"0","0.002799669047817588","0.002799669047817588","0.002799669047817588","0.0028015600983053446","0.0028015600983053446","0.0028015600983053446","0.002805308671668172","0.002805308671668172","0.002805308671668172","0.05650872737169266","0.05650872737169266","0.05650872737169266","0.005123571027070284","0.005123571027070284","0.005123571027070284","0.003202053252607584","0.003202053252607584","0.003202053252607584","0.002812011865898967","0.002812011865898967","0.002812011865898967"
"2","0.0002784451353363693","0.0002784451353363693","0.0002784451353363693","0.00028049436514265835","0.00028049436514265835","0.00028049436514265835","0.0002847331634256989","0.0002847331634256989","0.0002847331634256989","0.21089252829551697","0.21089252829551697","0.21089252829551697","0.001563393510878086","0.001563393510878086","0.001563393510878086","0.00048052106285467744","0.00048052106285467744","0.00048052106285467744","0.0002933168434537947","0.0002933168434537947","0.0002933168434537947"
"4","0.00012466820771805942","0.00012466820771805942","0.00012466820771805942","0.00012746680295094848","0.00012746680295094848","0.00012746680295094848","0.00013256519741844386","0.00013256519741844386","0.00013256519741844386","0.5308340191841125","0.5308340191841125","0.5308340191841125","0.001956900814548135","0.001956900814548135","0.001956900814548135","0.00030442269053310156","0.00030442269053310156","0.00030442269053310156","0.00014343422662932426","0.00014343422662932426","0.00014343422662932426"
"6","0.0000992727218545042","0.0000992727218545042","0.0000992727218545042","0.00010343229223508388","0.00010343229223508388","0.00010343229223508388","0.00011250708485022187","0.00011250708485022187","0.00011250708485022187","0.6059455871582031","0.6059455871582031","0.6059455871582031","0.01763450726866722","0.01763450726866722","0.01763450726866722","0.00045513093937188387","0.00045513093937188387","0.00045513093937188387","0.00013454092550091445","0.00013454092550091445","0.00013454092550091445"
"8","0.00003963251947425306","0.00003963251947425306","0.00003963251947425306","0.00004248668847139925","0.00004248668847139925","0.00004248668847139925","0.00004956464908900671","0.00004956464908900671","0.00004956464908900671","0.6010286211967468","0.6010286211967468","0.6010286211967468","0.03781258314847946","0.03781258314847946","0.03781258314847946","0.0005163653986528516","0.0005163653986528516","0.0005163653986528516","0.00006814223888795823","0.00006814223888795823","0.00006814223888795823"
"10","0.00003550665860529989","0.00003550665860529989","0.00003550665860529989","0.000038971411413513124","0.000038971411413513124","0.000038971411413513124","0.000047557419748045504","0.000047557419748045504","0.000047557419748045504","0.6339462995529175","0.6339462995529175","0.6339462995529175","0.0710516944527626","0.0710516944527626","0.0710516944527626","0.0012845189776271582","0.0012845189776271582","0.0012845189776271582","0.00007270324567798525","0.00007270324567798525","0.00007270324567798525"
"12","0.000036964913306292146","0.000036964913306292146","0.000036964913306292146","0.00004238062319927849","0.00004238062319927849","0.00004238062319927849","0.00005697587403119542","0.00005697587403119542","0.00005697587403119542","0.5883321762084961","0.5883321762084961","0.5883321762084961","0.12565305829048157","0.12565305829048157","0.12565305829048157","0.00414584344252944","0.00414584344252944","0.00414584344252944","0.00010099279461428523","0.00010099279461428523","0.00010099279461428523"
"14","0.000017412668967153877","0.000017412668967153877","0.000017412668967153877","0.00002107401451212354","0.00002107401451212354","0.00002107401451212354","0.000034475411666790023","0.000034475411666790023","0.000034475411666790023","0.6246813535690308","0.6246813535690308","0.6246813535690308","0.15294498205184937","0.15294498205184937","0.15294498205184937","0.00864246767014265","0.00864246767014265","0.00864246767014265","0.00009158942702924833","0.00009158942702924833","0.00009158942702924833"
"16","0.000009555478754919022","0.000009555478754919022","0.000009555478754919022","0.000014595992979593575","0.000014595992979593575","0.000014595992979593575","0.00003795983866439201","0.00003795983866439201","0.00003795983866439201","0.6708800196647644","0.6708800196647644","0.6708800196647644","0.20482631027698517","0.20482631027698517","0.20482631027698517","0.02273564040660858","0.02273564040660858","0.02273564040660858","0.00016883775242604315","0.00016883775242604315","0.00016883775242604315"
"18","0.000011877633369294927","0.000011877633369294927","0.000011877633369294927","0.0000165223864314612","0.0000165223864314612","0.0000165223864314612","0.00004004587390227243","0.00004004587390227243","0.00004004587390227243","0.657953679561615","0.657953679561615","0.657953679561615","0.13436752557754517","0.13436752557754517","0.13436752557754517","0.0260748453438282","0.0260748453438282","0.0260748453438282","0.00018717121565714478","0.00018717121565714478","0.00018717121565714478"
