"Step","VOWELS_FILTER_b40_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_b40_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - div_3_1_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_b20_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - div_3_1_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_b10_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - div_3_1_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_b0_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - div_3_1_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - div_3_1_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_b1_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - div_3_1_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_1_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_1_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_3_1_z__MAX"
"0","0.039952971041202545","0.039952971041202545","0.039952971041202545","0.039957739412784576","0.039957739412784576","0.039957739412784576","0.03996765613555908","0.03996765613555908","0.03996765613555908","0.06051085144281387","0.06051085144281387","0.06051085144281387","0.04740411415696144","0.04740411415696144","0.04740411415696144","0.04132727533578873","0.04132727533578873","0.04132727533578873","0.03998638689517975","0.03998638689517975","0.03998638689517975"
"2","0.026042170822620392","0.026042170822620392","0.026042170822620392","0.026072828099131584","0.026072828099131584","0.026072828099131584","0.026131123304367065","0.026131123304367065","0.026131123304367065","0.13962730765342712","0.13962730765342712","0.13962730765342712","0.041840679943561554","0.041840679943561554","0.041840679943561554","0.030671201646327972","0.030671201646327972","0.030671201646327972","0.026253117248415947","0.026253117248415947","0.026253117248415947"
"4","0.016159135848283768","0.016159135848283768","0.016159135848283768","0.016268806532025337","0.016268806532025337","0.016268806532025337","0.016467353329062462","0.016467353329062462","0.016467353329062462","0.5075235962867737","0.5075235962867737","0.5075235962867737","0.045229990035295486","0.045229990035295486","0.045229990035295486","0.02263541892170906","0.02263541892170906","0.02263541892170906","0.01688135787844658","0.01688135787844658","0.01688135787844658"
"6","0.011841241270303726","0.011841241270303726","0.011841241270303726","0.012087627314031124","0.012087627314031124","0.012087627314031124","0.012668529525399208","0.012668529525399208","0.012668529525399208","0.30964410305023193","0.30964410305023193","0.30964410305023193","0.53362637758255","0.53362637758255","0.53362637758255","0.025724567472934723","0.025724567472934723","0.025724567472934723","0.014088384807109833","0.014088384807109833","0.014088384807109833"
"8","0.009009696543216705","0.009009696543216705","0.009009696543216705","0.009790001437067986","0.009790001437067986","0.009790001437067986","0.011944828554987907","0.011944828554987907","0.011944828554987907","0.5504281520843506","0.5504281520843506","0.5504281520843506","0.724483072757721","0.724483072757721","0.724483072757721","0.09354358911514282","0.09354358911514282","0.09354358911514282","0.019727542996406555","0.019727542996406555","0.019727542996406555"
"10","0.0081681739538908","0.0081681739538908","0.0081681739538908","0.010610105469822884","0.010610105469822884","0.010610105469822884","0.02010236866772175","0.02010236866772175","0.02010236866772175","0.6291712522506714","0.6291712522506714","0.6291712522506714","0.7554917335510254","0.7554917335510254","0.7554917335510254","0.5011105537414551","0.5011105537414551","0.5011105537414551","0.05024310201406479","0.05024310201406479","0.05024310201406479"
"12","0.008774652145802975","0.008774652145802975","0.008774652145802975","0.01690743863582611","0.01690743863582611","0.01690743863582611","0.0398252010345459","0.0398252010345459","0.0398252010345459","0.731905996799469","0.731905996799469","0.731905996799469","0.7731358408927917","0.7731358408927917","0.7731358408927917","0.7093592882156372","0.7093592882156372","0.7093592882156372","0.0899910181760788","0.0899910181760788","0.0899910181760788"
"14","0.012895409017801285","0.012895409017801285","0.012895409017801285","0.028237242251634598","0.028237242251634598","0.028237242251634598","0.059524644166231155","0.059524644166231155","0.059524644166231155","0.7650209665298462","0.7650209665298462","0.7650209665298462","0.7774571180343628","0.7774571180343628","0.7774571180343628","0.7062287330627441","0.7062287330627441","0.7062287330627441","0.13612161576747894","0.13612161576747894","0.13612161576747894"
"16","0.01760534755885601","0.01760534755885601","0.01760534755885601","0.03617482632398605","0.03617482632398605","0.03617482632398605","0.07444837689399719","0.07444837689399719","0.07444837689399719","0.7233150005340576","0.7233150005340576","0.7233150005340576","0.7241581082344055","0.7241581082344055","0.7241581082344055","0.6829378604888916","0.6829378604888916","0.6829378604888916","0.1790601909160614","0.1790601909160614","0.1790601909160614"
"18","0.02297648787498474","0.02297648787498474","0.02297648787498474","0.04751124233007431","0.04751124233007431","0.04751124233007431","0.09962531179189682","0.09962531179189682","0.09962531179189682","0.8444312810897827","0.8444312810897827","0.8444312810897827","0.8633947372436523","0.8633947372436523","0.8633947372436523","0.8174804449081421","0.8174804449081421","0.8174804449081421","0.2554287910461426","0.2554287910461426","0.2554287910461426"
