"Step","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - divergence_negative_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - divergence_negative_s__MAX"
"20","0.00001499580957897706","0.00001499580957897706","0.00001499580957897706","0.00003476659185253084","0.00003476659185253084","0.00003476659185253084","0.00014586902398150414","0.00014586902398150414","0.00014586902398150414","0.6260160803794861","0.6260160803794861","0.6260160803794861","0.32135099172592163","0.32135099172592163","0.32135099172592163","0.12625543773174286","0.12625543773174286","0.12625543773174286","0.0009562629275023937","0.0009562629275023937","0.0009562629275023937"
"22","0.000013040078556514345","0.000013040078556514345","0.000013040078556514345","0.00004343390901340172","0.00004343390901340172","0.00004343390901340172","0.00023875752231106162","0.00023875752231106162","0.00023875752231106162","0.6547180414199829","0.6547180414199829","0.6547180414199829","0.37239035964012146","0.37239035964012146","0.37239035964012146","0.1944369524717331","0.1944369524717331","0.1944369524717331","0.0021007300820201635","0.0021007300820201635","0.0021007300820201635"
"24","0.000013687024875252973","0.000013687024875252973","0.000013687024875252973","0.00006040615699021146","0.00006040615699021146","0.00006040615699021146","0.00040708156302571297","0.00040708156302571297","0.00040708156302571297","0.6655916571617126","0.6655916571617126","0.6655916571617126","0.4057771563529968","0.4057771563529968","0.4057771563529968","0.2454145848751068","0.2454145848751068","0.2454145848751068","0.004701649770140648","0.004701649770140648","0.004701649770140648"
"26","0.00002107581531163305","0.00002107581531163305","0.00002107581531163305","0.00010166037827730179","0.00010166037827730179","0.00010166037827730179","0.0007925210520625114","0.0007925210520625114","0.0007925210520625114","0.665289044380188","0.665289044380188","0.665289044380188","0.4457063376903534","0.4457063376903534","0.4457063376903534","0.2850915789604187","0.2850915789604187","0.2850915789604187","0.013125772587954998","0.013125772587954998","0.013125772587954998"
"28","0.000019739447452593595","0.000019739447452593595","0.000019739447452593595","0.00011633135727606714","0.00011633135727606714","0.00011633135727606714","0.0011178378481417894","0.0011178378481417894","0.0011178378481417894","0.6753033399581909","0.6753033399581909","0.6753033399581909","0.4334484040737152","0.4334484040737152","0.4334484040737152","0.26945167779922485","0.26945167779922485","0.26945167779922485","0.020311830565333366","0.020311830565333366","0.020311830565333366"
"30","0.00002524508090573363","0.00002524508090573363","0.00002524508090573363","0.00017724283679854125","0.00017724283679854125","0.00017724283679854125","0.0021813407074660063","0.0021813407074660063","0.0021813407074660063","0.6810455322265625","0.6810455322265625","0.6810455322265625","0.4760146141052246","0.4760146141052246","0.4760146141052246","0.29053956270217896","0.29053956270217896","0.29053956270217896","0.03647657483816147","0.03647657483816147","0.03647657483816147"
"32","0.00003362120332894847","0.00003362120332894847","0.00003362120332894847","0.000293340184725821","0.000293340184725821","0.000293340184725821","0.004299834370613098","0.004299834370613098","0.004299834370613098","0.6803227663040161","0.6803227663040161","0.6803227663040161","0.49453067779541016","0.49453067779541016","0.49453067779541016","0.3118368983268738","0.3118368983268738","0.3118368983268738","0.06159627437591553","0.06159627437591553","0.06159627437591553"
"34","0.000055910910305101424","0.000055910910305101424","0.000055910910305101424","0.0005992738297209144","0.0005992738297209144","0.0005992738297209144","0.010026901960372925","0.010026901960372925","0.010026901960372925","0.680478572845459","0.680478572845459","0.680478572845459","0.5320734977722168","0.5320734977722168","0.5320734977722168","0.3169102072715759","0.3169102072715759","0.3169102072715759","0.09603208303451538","0.09603208303451538","0.09603208303451538"
"36","0.00007321854354813695","0.00007321854354813695","0.00007321854354813695","0.0009159420151263475","0.0009159420151263475","0.0009159420151263475","0.012530247680842876","0.012530247680842876","0.012530247680842876","0.6781023740768433","0.6781023740768433","0.6781023740768433","0.5375831127166748","0.5375831127166748","0.5375831127166748","0.3141609728336334","0.3141609728336334","0.3141609728336334","0.10531927645206451","0.10531927645206451","0.10531927645206451"
"38","0.00010401563486084342","0.00010401563486084342","0.00010401563486084342","0.0013169361045584083","0.0013169361045584083","0.0013169361045584083","0.01541737001389265","0.01541737001389265","0.01541737001389265","0.6765395998954773","0.6765395998954773","0.6765395998954773","0.5213413834571838","0.5213413834571838","0.5213413834571838","0.30831649899482727","0.30831649899482727","0.30831649899482727","0.11269678175449371","0.11269678175449371","0.11269678175449371"
"40","0.00014733003627043217","0.00014733003627043217","0.00014733003627043217","0.00192253477871418","0.00192253477871418","0.00192253477871418","0.020923592150211334","0.020923592150211334","0.020923592150211334","0.666343629360199","0.666343629360199","0.666343629360199","0.5483312606811523","0.5483312606811523","0.5483312606811523","0.3094230890274048","0.3094230890274048","0.3094230890274048","0.1352018415927887","0.1352018415927887","0.1352018415927887"
"42","0.0002644688356667757","0.0002644688356667757","0.0002644688356667757","0.003355290275067091","0.003355290275067091","0.003355290275067091","0.04157530516386032","0.04157530516386032","0.04157530516386032","0.6838580369949341","0.6838580369949341","0.6838580369949341","0.5722761154174805","0.5722761154174805","0.5722761154174805","0.3428874611854553","0.3428874611854553","0.3428874611854553","0.16707180440425873","0.16707180440425873","0.16707180440425873"
"44","0.00044019377673976123","0.00044019377673976123","0.00044019377673976123","0.004964942112565041","0.004964942112565041","0.004964942112565041","0.054002683609724045","0.054002683609724045","0.054002683609724045","0.6790332794189453","0.6790332794189453","0.6790332794189453","0.5923287272453308","0.5923287272453308","0.5923287272453308","0.3359266519546509","0.3359266519546509","0.3359266519546509","0.1787610501050949","0.1787610501050949","0.1787610501050949"
"46","0.0006261428934521973","0.0006261428934521973","0.0006261428934521973","0.006127539556473494","0.006127539556473494","0.006127539556473494","0.0655323714017868","0.0655323714017868","0.0655323714017868","0.6868211627006531","0.6868211627006531","0.6868211627006531","0.6101411581039429","0.6101411581039429","0.6101411581039429","0.34663981199264526","0.34663981199264526","0.34663981199264526","0.1900542974472046","0.1900542974472046","0.1900542974472046"
"48","0.0009389739716425538","0.0009389739716425538","0.0009389739716425538","0.008237887173891068","0.008237887173891068","0.008237887173891068","0.07688726484775543","0.07688726484775543","0.07688726484775543","0.6778297424316406","0.6778297424316406","0.6778297424316406","0.6063002347946167","0.6063002347946167","0.6063002347946167","0.3560219407081604","0.3560219407081604","0.3560219407081604","0.20496486127376556","0.20496486127376556","0.20496486127376556"
"50","0.001134084421209991","0.001134084421209991","0.001134084421209991","0.008946401998400688","0.008946401998400688","0.008946401998400688","0.08208289742469788","0.08208289742469788","0.08208289742469788","0.6797431707382202","0.6797431707382202","0.6797431707382202","0.5861037969589233","0.5861037969589233","0.5861037969589233","0.35338926315307617","0.35338926315307617","0.35338926315307617","0.20307175815105438","0.20307175815105438","0.20307175815105438"
"52","0.0018323295516893268","0.0018323295516893268","0.0018323295516893268","0.015366017818450928","0.015366017818450928","0.015366017818450928","0.11806055903434753","0.11806055903434753","0.11806055903434753","0.6879527568817139","0.6879527568817139","0.6879527568817139","0.6300817728042603","0.6300817728042603","0.6300817728042603","0.3688139319419861","0.3688139319419861","0.3688139319419861","0.2477814257144928","0.2477814257144928","0.2477814257144928"
"54","0.002198176458477974","0.002198176458477974","0.002198176458477974","0.016049494966864586","0.016049494966864586","0.016049494966864586","0.1257202923297882","0.1257202923297882","0.1257202923297882","0.6842219829559326","0.6842219829559326","0.6842219829559326","0.6146894693374634","0.6146894693374634","0.6146894693374634","0.36658644676208496","0.36658644676208496","0.36658644676208496","0.24552422761917114","0.24552422761917114","0.24552422761917114"
"56","0.0021883673034608364","0.0021883673034608364","0.0021883673034608364","0.014903485774993896","0.014903485774993896","0.014903485774993896","0.11510355770587921","0.11510355770587921","0.11510355770587921","0.6806692481040955","0.6806692481040955","0.6806692481040955","0.5959998369216919","0.5959998369216919","0.5959998369216919","0.2520580291748047","0.2520580291748047","0.2520580291748047","0.21223294734954834","0.21223294734954834","0.21223294734954834"
"58","0.0029066214337944984","0.0029066214337944984","0.0029066214337944984","0.020581088960170746","0.020581088960170746","0.020581088960170746","0.12925216555595398","0.12925216555595398","0.12925216555595398","0.6738278269767761","0.6738278269767761","0.6738278269767761","0.6344098448753357","0.6344098448753357","0.6344098448753357","0.32809120416641235","0.32809120416641235","0.32809120416641235","0.23755407333374023","0.23755407333374023","0.23755407333374023"
"60","0.003509433474391699","0.003509433474391699","0.003509433474391699","0.024514909833669662","0.024514909833669662","0.024514909833669662","0.14513222873210907","0.14513222873210907","0.14513222873210907","0.6783811450004578","0.6783811450004578","0.6783811450004578","0.6064523458480835","0.6064523458480835","0.6064523458480835","0.32196930050849915","0.32196930050849915","0.32196930050849915","0.23240141570568085","0.23240141570568085","0.23240141570568085"
"62","0.004198235459625721","0.004198235459625721","0.004198235459625721","0.030185464769601822","0.030185464769601822","0.030185464769601822","0.1639249175786972","0.1639249175786972","0.1639249175786972","0.6770786643028259","0.6770786643028259","0.6770786643028259","0.6197720766067505","0.6197720766067505","0.6197720766067505","0.3596869111061096","0.3596869111061096","0.3596869111061096","0.255681574344635","0.255681574344635","0.255681574344635"
"64","0.005058721173554659","0.005058721173554659","0.005058721173554659","0.033480480313301086","0.033480480313301086","0.033480480313301086","0.17107629776000977","0.17107629776000977","0.17107629776000977","0.6814476251602173","0.6814476251602173","0.6814476251602173","0.6297990083694458","0.6297990083694458","0.6297990083694458","0.3765990436077118","0.3765990436077118","0.3765990436077118","0.2691516578197479","0.2691516578197479","0.2691516578197479"
"66","0.005739716347306967","0.005739716347306967","0.005739716347306967","0.03812622278928757","0.03812622278928757","0.03812622278928757","0.18663251399993896","0.18663251399993896","0.18663251399993896","0.6886762380599976","0.6886762380599976","0.6886762380599976","0.6482698917388916","0.6482698917388916","0.6482698917388916","0.38420170545578003","0.38420170545578003","0.38420170545578003","0.2817286550998688","0.2817286550998688","0.2817286550998688"
"68","0.006136465817689896","0.006136465817689896","0.006136465817689896","0.03939216956496239","0.03939216956496239","0.03939216956496239","0.17395107448101044","0.17395107448101044","0.17395107448101044","0.6809496283531189","0.6809496283531189","0.6809496283531189","0.6207877397537231","0.6207877397537231","0.6207877397537231","0.3623603582382202","0.3623603582382202","0.3623603582382202","0.2630631923675537","0.2630631923675537","0.2630631923675537"
"70","0.007301247678697109","0.007301247678697109","0.007301247678697109","0.05172839015722275","0.05172839015722275","0.05172839015722275","0.1893971860408783","0.1893971860408783","0.1893971860408783","0.6829611659049988","0.6829611659049988","0.6829611659049988","0.6467286348342896","0.6467286348342896","0.6467286348342896","0.3784725069999695","0.3784725069999695","0.3784725069999695","0.2775684595108032","0.2775684595108032","0.2775684595108032"
"72","0.008115652948617935","0.008115652948617935","0.008115652948617935","0.052025895565748215","0.052025895565748215","0.052025895565748215","0.19151870906352997","0.19151870906352997","0.19151870906352997","0.6762906908988953","0.6762906908988953","0.6762906908988953","0.6184094548225403","0.6184094548225403","0.6184094548225403","0.39444106817245483","0.39444106817245483","0.39444106817245483","0.2673826217651367","0.2673826217651367","0.2673826217651367"
"74","0.008982827886939049","0.008982827886939049","0.008982827886939049","0.05714574456214905","0.05714574456214905","0.05714574456214905","0.19503095746040344","0.19503095746040344","0.19503095746040344","0.6800767779350281","0.6800767779350281","0.6800767779350281","0.6301984786987305","0.6301984786987305","0.6301984786987305","0.388244092464447","0.388244092464447","0.388244092464447","0.27908098697662354","0.27908098697662354","0.27908098697662354"
"76","0.01236007735133171","0.01236007735133171","0.01236007735133171","0.07869783788919449","0.07869783788919449","0.07869783788919449","0.2163950651884079","0.2163950651884079","0.2163950651884079","0.6894850730895996","0.6894850730895996","0.6894850730895996","0.666022539138794","0.666022539138794","0.666022539138794","0.4082593321800232","0.4082593321800232","0.4082593321800232","0.2971327304840088","0.2971327304840088","0.2971327304840088"
"78","0.011190171353518963","0.011190171353518963","0.011190171353518963","0.07548141479492188","0.07548141479492188","0.07548141479492188","0.22458867728710175","0.22458867728710175","0.22458867728710175","0.6840134859085083","0.6840134859085083","0.6840134859085083","0.6560763120651245","0.6560763120651245","0.6560763120651245","0.42796754837036133","0.42796754837036133","0.42796754837036133","0.3009072542190552","0.3009072542190552","0.3009072542190552"
"80","0.013983188197016716","0.013983188197016716","0.013983188197016716","0.0820007473230362","0.0820007473230362","0.0820007473230362","0.21648156642913818","0.21648156642913818","0.21648156642913818","0.6714920401573181","0.6714920401573181","0.6714920401573181","0.6277352571487427","0.6277352571487427","0.6277352571487427","0.42304033041000366","0.42304033041000366","0.42304033041000366","0.2977624535560608","0.2977624535560608","0.2977624535560608"
"82","0.01422668993473053","0.01422668993473053","0.01422668993473053","0.09227804839611053","0.09227804839611053","0.09227804839611053","0.20938920974731445","0.20938920974731445","0.20938920974731445","0.6879662275314331","0.6879662275314331","0.6879662275314331","0.6624883413314819","0.6624883413314819","0.6624883413314819","0.43323612213134766","0.43323612213134766","0.43323612213134766","0.2897353768348694","0.2897353768348694","0.2897353768348694"
"84","0.016897130757570267","0.016897130757570267","0.016897130757570267","0.10036559402942657","0.10036559402942657","0.10036559402942657","0.22032561898231506","0.22032561898231506","0.22032561898231506","0.6881000399589539","0.6881000399589539","0.6881000399589539","0.6513035297393799","0.6513035297393799","0.6513035297393799","0.44042444229125977","0.44042444229125977","0.44042444229125977","0.2952807545661926","0.2952807545661926","0.2952807545661926"
"86","0.020950697362422943","0.020950697362422943","0.020950697362422943","0.11537822335958481","0.11537822335958481","0.11537822335958481","0.2408125102519989","0.2408125102519989","0.2408125102519989","0.6858394145965576","0.6858394145965576","0.6858394145965576","0.6610385179519653","0.6610385179519653","0.6610385179519653","0.4377043843269348","0.4377043843269348","0.4377043843269348","0.3142874836921692","0.3142874836921692","0.3142874836921692"
"88","0.016988268122076988","0.016988268122076988","0.016988268122076988","0.0985969826579094","0.0985969826579094","0.0985969826579094","0.19822946190834045","0.19822946190834045","0.19822946190834045","0.6805012226104736","0.6805012226104736","0.6805012226104736","0.5956432819366455","0.5956432819366455","0.5956432819366455","0.3958364725112915","0.3958364725112915","0.3958364725112915","0.2603924870491028","0.2603924870491028","0.2603924870491028"
"90","0.02330377697944641","0.02330377697944641","0.02330377697944641","0.13306179642677307","0.13306179642677307","0.13306179642677307","0.25191131234169006","0.25191131234169006","0.25191131234169006","0.6916466951370239","0.6916466951370239","0.6916466951370239","0.6732996702194214","0.6732996702194214","0.6732996702194214","0.46735167503356934","0.46735167503356934","0.46735167503356934","0.31789812445640564","0.31789812445640564","0.31789812445640564"
"92","0.02568376623094082","0.02568376623094082","0.02568376623094082","0.1395675241947174","0.1395675241947174","0.1395675241947174","0.24556967616081238","0.24556967616081238","0.24556967616081238","0.6813651323318481","0.6813651323318481","0.6813651323318481","0.6238682866096497","0.6238682866096497","0.6238682866096497","0.4598270058631897","0.4598270058631897","0.4598270058631897","0.3116210699081421","0.3116210699081421","0.3116210699081421"
"94","0.027679188176989555","0.027679188176989555","0.027679188176989555","0.13841578364372253","0.13841578364372253","0.13841578364372253","0.23711517453193665","0.23711517453193665","0.23711517453193665","0.689998984336853","0.689998984336853","0.689998984336853","0.6647214293479919","0.6647214293479919","0.6647214293479919","0.47606992721557617","0.47606992721557617","0.47606992721557617","0.3073452115058899","0.3073452115058899","0.3073452115058899"
"96","0.03189310058951378","0.03189310058951378","0.03189310058951378","0.16108830273151398","0.16108830273151398","0.16108830273151398","0.2582872807979584","0.2582872807979584","0.2582872807979584","0.6866061687469482","0.6866061687469482","0.6866061687469482","0.6642358303070068","0.6642358303070068","0.6642358303070068","0.4775717854499817","0.4775717854499817","0.4775717854499817","0.32210084795951843","0.32210084795951843","0.32210084795951843"
"98","0.04065591096878052","0.04065591096878052","0.04065591096878052","0.18635404109954834","0.18635404109954834","0.18635404109954834","0.2885594964027405","0.2885594964027405","0.2885594964027405","0.6807443499565125","0.6807443499565125","0.6807443499565125","0.6599564552307129","0.6599564552307129","0.6599564552307129","0.5037007331848145","0.5037007331848145","0.5037007331848145","0.33638501167297363","0.33638501167297363","0.33638501167297363"
"100","0.036950163543224335","0.036950163543224335","0.036950163543224335","0.16520273685455322","0.16520273685455322","0.16520273685455322","0.26730021834373474","0.26730021834373474","0.26730021834373474","0.6854982376098633","0.6854982376098633","0.6854982376098633","0.6543992161750793","0.6543992161750793","0.6543992161750793","0.4908944070339203","0.4908944070339203","0.4908944070339203","0.3269835412502289","0.3269835412502289","0.3269835412502289"
"102","0.03825217857956886","0.03825217857956886","0.03825217857956886","0.17023788392543793","0.17023788392543793","0.17023788392543793","0.27159184217453003","0.27159184217453003","0.27159184217453003","0.6866453886032104","0.6866453886032104","0.6866453886032104","0.6571320295333862","0.6571320295333862","0.6571320295333862","0.5091094374656677","0.5091094374656677","0.5091094374656677","0.3266940414905548","0.3266940414905548","0.3266940414905548"
"104","0.037700265645980835","0.037700265645980835","0.037700265645980835","0.1623690277338028","0.1623690277338028","0.1623690277338028","0.25595158338546753","0.25595158338546753","0.25595158338546753","0.6861476302146912","0.6861476302146912","0.6861476302146912","0.6555711030960083","0.6555711030960083","0.6555711030960083","0.5123350620269775","0.5123350620269775","0.5123350620269775","0.31001442670822144","0.31001442670822144","0.31001442670822144"
"106","0.04620286077260971","0.04620286077260971","0.04620286077260971","0.18749408423900604","0.18749408423900604","0.18749408423900604","0.284285306930542","0.284285306930542","0.284285306930542","0.685966968536377","0.685966968536377","0.685966968536377","0.6602057218551636","0.6602057218551636","0.6602057218551636","0.5154832005500793","0.5154832005500793","0.5154832005500793","0.3432905077934265","0.3432905077934265","0.3432905077934265"
"108","0.04805377125740051","0.04805377125740051","0.04805377125740051","0.1877550333738327","0.1877550333738327","0.1877550333738327","0.27719470858573914","0.27719470858573914","0.27719470858573914","0.6797935366630554","0.6797935366630554","0.6797935366630554","0.6522715091705322","0.6522715091705322","0.6522715091705322","0.5168254375457764","0.5168254375457764","0.5168254375457764","0.33060264587402344","0.33060264587402344","0.33060264587402344"
"110","0.047511667013168335","0.047511667013168335","0.047511667013168335","0.1868235468864441","0.1868235468864441","0.1868235468864441","0.28398486971855164","0.28398486971855164","0.28398486971855164","0.6795464754104614","0.6795464754104614","0.6795464754104614","0.6599299907684326","0.6599299907684326","0.6599299907684326","0.5372983813285828","0.5372983813285828","0.5372983813285828","0.3278360962867737","0.3278360962867737","0.3278360962867737"
"112","0.05150572583079338","0.05150572583079338","0.05150572583079338","0.18442541360855103","0.18442541360855103","0.18442541360855103","0.2647235095500946","0.2647235095500946","0.2647235095500946","0.6794644594192505","0.6794644594192505","0.6794644594192505","0.6459635496139526","0.6459635496139526","0.6459635496139526","0.5341379046440125","0.5341379046440125","0.5341379046440125","0.3132374882698059","0.3132374882698059","0.3132374882698059"
"114","0.056014083325862885","0.056014083325862885","0.056014083325862885","0.20099537074565887","0.20099537074565887","0.20099537074565887","0.2870551347732544","0.2870551347732544","0.2870551347732544","0.6742815971374512","0.6742815971374512","0.6742815971374512","0.6456165313720703","0.6456165313720703","0.6456165313720703","0.5224098563194275","0.5224098563194275","0.5224098563194275","0.340930312871933","0.340930312871933","0.340930312871933"
"116","0.06463582813739777","0.06463582813739777","0.06463582813739777","0.2106514871120453","0.2106514871120453","0.2106514871120453","0.294802725315094","0.294802725315094","0.294802725315094","0.6836885213851929","0.6836885213851929","0.6836885213851929","0.6493205428123474","0.6493205428123474","0.6493205428123474","0.5360105633735657","0.5360105633735657","0.5360105633735657","0.3410186469554901","0.3410186469554901","0.3410186469554901"
"118","0.06925847381353378","0.06925847381353378","0.06925847381353378","0.21612893044948578","0.21612893044948578","0.21612893044948578","0.2963327169418335","0.2963327169418335","0.2963327169418335","0.685926616191864","0.685926616191864","0.685926616191864","0.6741929054260254","0.6741929054260254","0.6741929054260254","0.565862238407135","0.565862238407135","0.565862238407135","0.3405454754829407","0.3405454754829407","0.3405454754829407"
"120","0.07360943406820297","0.07360943406820297","0.07360943406820297","0.23432695865631104","0.23432695865631104","0.23432695865631104","0.3104194104671478","0.3104194104671478","0.3104194104671478","0.6850624084472656","0.6850624084472656","0.6850624084472656","0.6777598261833191","0.6777598261833191","0.6777598261833191","0.5937802791595459","0.5937802791595459","0.5937802791595459","0.34900742769241333","0.34900742769241333","0.34900742769241333"
"122","0.06669530272483826","0.06669530272483826","0.06669530272483826","0.2024995982646942","0.2024995982646942","0.2024995982646942","0.26679515838623047","0.26679515838623047","0.26679515838623047","0.6780080795288086","0.6780080795288086","0.6780080795288086","0.6369550824165344","0.6369550824165344","0.6369550824165344","0.5201549530029297","0.5201549530029297","0.5201549530029297","0.3194136321544647","0.3194136321544647","0.3194136321544647"
"124","0.08878518640995026","0.08878518640995026","0.08878518640995026","0.24244332313537598","0.24244332313537598","0.24244332313537598","0.3165552020072937","0.3165552020072937","0.3165552020072937","0.6861304044723511","0.6861304044723511","0.6861304044723511","0.6756963729858398","0.6756963729858398","0.6756963729858398","0.5896947979927063","0.5896947979927063","0.5896947979927063","0.36200475692749023","0.36200475692749023","0.36200475692749023"
