"Step","VOWELS_FILTER_b40_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_b40_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - div_2_1_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_b20_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - div_2_1_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_b10_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - div_2_1_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_b0_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - div_2_1_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_b0.1_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - div_2_1_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_b1_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - div_2_1_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_2_1_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_2_1_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_2_1_s__MAX"
"0","0.003220462240278721","0.003220462240278721","0.003220462240278721","0.0032240941654890776","0.0032240941654890776","0.0032240941654890776","0.0032307894434779882","0.0032307894434779882","0.0032307894434779882","0.1325286626815796","0.1325286626815796","0.1325286626815796","0.0061678895726799965","0.0061678895726799965","0.0061678895726799965","0.0037842050660401583","0.0037842050660401583","0.0037842050660401583","0.0032437769696116447","0.0032437769696116447","0.0032437769696116447"
"2","0.00031094258883967996","0.00031094258883967996","0.00031094258883967996","0.00031451715040020645","0.00031451715040020645","0.00031451715040020645","0.00032185250893235207","0.00032185250893235207","0.00032185250893235207","0.16567836701869965","0.16567836701869965","0.16567836701869965","0.0026318824384361506","0.0026318824384361506","0.0026318824384361506","0.0006206854595802724","0.0006206854595802724","0.0006206854595802724","0.00033723481465131044","0.00033723481465131044","0.00033723481465131044"
"4","0.00014900800306349993","0.00014900800306349993","0.00014900800306349993","0.00015390399494208395","0.00015390399494208395","0.00015390399494208395","0.00016351594240404665","0.00016351594240404665","0.00016351594240404665","0.5164867043495178","0.5164867043495178","0.5164867043495178","0.005009559914469719","0.005009559914469719","0.005009559914469719","0.0004952092422172427","0.0004952092422172427","0.0004952092422172427","0.00018537638243287802","0.00018537638243287802","0.00018537638243287802"
"6","0.00010310247307643294","0.00010310247307643294","0.00010310247307643294","0.00010832933185156435","0.00010832933185156435","0.00010832933185156435","0.00011953168723266572","0.00011953168723266572","0.00011953168723266572","0.47215431928634644","0.47215431928634644","0.47215431928634644","0.02400522120296955","0.02400522120296955","0.02400522120296955","0.0005898317904211581","0.0005898317904211581","0.0005898317904211581","0.0001484235399402678","0.0001484235399402678","0.0001484235399402678"
"8","0.000038994989154161885","0.000038994989154161885","0.000038994989154161885","0.00004358037040219642","0.00004358037040219642","0.00004358037040219642","0.00005625072662951425","0.00005625072662951425","0.00005625072662951425","0.5601383447647095","0.5601383447647095","0.5601383447647095","0.07565620541572571","0.07565620541572571","0.07565620541572571","0.0009461970184929669","0.0009461970184929669","0.0009461970184929669","0.00009113960550166667","0.00009113960550166667","0.00009113960550166667"
"10","0.00002851839963113889","0.00002851839963113889","0.00002851839963113889","0.0000348917419614736","0.0000348917419614736","0.0000348917419614736","0.000052473173127509654","0.000052473173127509654","0.000052473173127509654","0.6377885341644287","0.6377885341644287","0.6377885341644287","0.16004762053489685","0.16004762053489685","0.16004762053489685","0.002710434142500162","0.002710434142500162","0.002710434142500162","0.0001089182187570259","0.0001089182187570259","0.0001089182187570259"
"12","0.00004312160672270693","0.00004312160672270693","0.00004312160672270693","0.000051923714636359364","0.000051923714636359364","0.000051923714636359364","0.0000784339354140684","0.0000784339354140684","0.0000784339354140684","0.5830094814300537","0.5830094814300537","0.5830094814300537","0.1646953672170639","0.1646953672170639","0.1646953672170639","0.006181475706398487","0.006181475706398487","0.006181475706398487","0.00015958075528033078","0.00015958075528033078","0.00015958075528033078"
"14","0.000019547518604667857","0.000019547518604667857","0.000019547518604667857","0.000027221900381846353","0.000027221900381846353","0.000027221900381846353","0.00005465518916025758","0.00005465518916025758","0.00005465518916025758","0.5720107555389404","0.5720107555389404","0.5720107555389404","0.20932216942310333","0.20932216942310333","0.20932216942310333","0.014044827781617641","0.014044827781617641","0.014044827781617641","0.00016533290909137577","0.00016533290909137577","0.00016533290909137577"
"16","0.000011844756954815239","0.000011844756954815239","0.000011844756954815239","0.000021060488506918773","0.000021060488506918773","0.000021060488506918773","0.00005735135346185416","0.00005735135346185416","0.00005735135346185416","0.6119071245193481","0.6119071245193481","0.6119071245193481","0.21728438138961792","0.21728438138961792","0.21728438138961792","0.027074147015810013","0.027074147015810013","0.027074147015810013","0.00023521247203461826","0.00023521247203461826","0.00023521247203461826"
"18","0.000017459427908761427","0.000017459427908761427","0.000017459427908761427","0.00003467634815024212","0.00003467634815024212","0.00003467634815024212","0.00011901748075615615","0.00011901748075615615","0.00011901748075615615","0.6755244731903076","0.6755244731903076","0.6755244731903076","0.3417862057685852","0.3417862057685852","0.3417862057685852","0.08233508467674255","0.08233508467674255","0.08233508467674255","0.0006177485920488834","0.0006177485920488834","0.0006177485920488834"
