"Step","VOWELS_FILTER_b40_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_b40_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_b40_DUAL_bs16 - div_2_1_z__MAX","VOWELS_FILTER_b20_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_b20_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_b20_DUAL_bs16 - div_2_1_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_b10_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - div_2_1_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_b0_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - div_2_1_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_b0.1_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - div_2_1_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_b1_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - div_2_1_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_2_1_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_2_1_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - div_2_1_z__MAX"
"0","0.03987618535757065","0.03987618535757065","0.03987618535757065","0.03988116979598999","0.03988116979598999","0.03988116979598999","0.03989090770483017","0.03989090770483017","0.03989090770483017","0.06040806323289871","0.06040806323289871","0.06040806323289871","0.0473097562789917","0.0473097562789917","0.0473097562789917","0.04128836467862129","0.04128836467862129","0.04128836467862129","0.039909716695547104","0.039909716695547104","0.039909716695547104"
"2","0.025974493473768234","0.025974493473768234","0.025974493473768234","0.026004957035183907","0.026004957035183907","0.026004957035183907","0.026063203811645508","0.026063203811645508","0.026063203811645508","0.13899600505828857","0.13899600505828857","0.13899600505828857","0.0418427474796772","0.0418427474796772","0.0418427474796772","0.03052028827369213","0.03052028827369213","0.03052028827369213","0.026183655485510826","0.026183655485510826","0.026183655485510826"
"4","0.0163021981716156","0.0163021981716156","0.0163021981716156","0.016414379701018333","0.016414379701018333","0.016414379701018333","0.016617540270090103","0.016617540270090103","0.016617540270090103","0.5541749596595764","0.5541749596595764","0.5541749596595764","0.04553268104791641","0.04553268104791641","0.04553268104791641","0.02273722179234028","0.02273722179234028","0.02273722179234028","0.017041785642504692","0.017041785642504692","0.017041785642504692"
"6","0.012080789543688297","0.012080789543688297","0.012080789543688297","0.012331265024840832","0.012331265024840832","0.012331265024840832","0.012924602255225182","0.012924602255225182","0.012924602255225182","0.3227706551551819","0.3227706551551819","0.3227706551551819","0.5591846704483032","0.5591846704483032","0.5591846704483032","0.026144498959183693","0.026144498959183693","0.026144498959183693","0.014372093603014946","0.014372093603014946","0.014372093603014946"
"8","0.008879783563315868","0.008879783563315868","0.008879783563315868","0.009647570550441742","0.009647570550441742","0.009647570550441742","0.011773444712162018","0.011773444712162018","0.011773444712162018","0.5284847021102905","0.5284847021102905","0.5284847021102905","0.7709956765174866","0.7709956765174866","0.7709956765174866","0.09772398322820663","0.09772398322820663","0.09772398322820663","0.0194791778922081","0.0194791778922081","0.0194791778922081"
"10","0.008082957938313484","0.008082957938313484","0.008082957938313484","0.010451075620949268","0.010451075620949268","0.010451075620949268","0.019500181078910828","0.019500181078910828","0.019500181078910828","0.6772457361221313","0.6772457361221313","0.6772457361221313","0.7720630764961243","0.7720630764961243","0.7720630764961243","0.5446916818618774","0.5446916818618774","0.5446916818618774","0.0479784831404686","0.0479784831404686","0.0479784831404686"
"12","0.008904417976737022","0.008904417976737022","0.008904417976737022","0.017097007483243942","0.017097007483243942","0.017097007483243942","0.0400058850646019","0.0400058850646019","0.0400058850646019","0.7005431652069092","0.7005431652069092","0.7005431652069092","0.7675245404243469","0.7675245404243469","0.7675245404243469","0.678581714630127","0.678581714630127","0.678581714630127","0.08975856006145477","0.08975856006145477","0.08975856006145477"
"14","0.012863479554653168","0.012863479554653168","0.012863479554653168","0.027961350977420807","0.027961350977420807","0.027961350977420807","0.05868109315633774","0.05868109315633774","0.05868109315633774","0.7323045134544373","0.7323045134544373","0.7323045134544373","0.774057149887085","0.774057149887085","0.774057149887085","0.7077615857124329","0.7077615857124329","0.7077615857124329","0.1337522566318512","0.1337522566318512","0.1337522566318512"
"16","0.018237821757793427","0.018237821757793427","0.018237821757793427","0.037855058908462524","0.037855058908462524","0.037855058908462524","0.07852195203304291","0.07852195203304291","0.07852195203304291","0.7680444717407227","0.7680444717407227","0.7680444717407227","0.774591863155365","0.774591863155365","0.774591863155365","0.7291766405105591","0.7291766405105591","0.7291766405105591","0.19011995196342468","0.19011995196342468","0.19011995196342468"
"18","0.022806521505117416","0.022806521505117416","0.022806521505117416","0.047256164252758026","0.047256164252758026","0.047256164252758026","0.09926480054855347","0.09926480054855347","0.09926480054855347","0.8184928894042969","0.8184928894042969","0.8184928894042969","0.8619685173034668","0.8619685173034668","0.8619685173034668","0.8347442150115967","0.8347442150115967","0.8347442150115967","0.25565242767333984","0.25565242767333984","0.25565242767333984"
"20","0.02475232072174549","0.02475232072174549","0.02475232072174549","0.05132553353905678","0.05132553353905678","0.05132553353905678","0.11180925369262695","0.11180925369262695","0.11180925369262695","0.7798495292663574","0.7798495292663574","0.7798495292663574","0.756239652633667","0.756239652633667","0.756239652633667","0.7108660936355591","0.7108660936355591","0.7108660936355591","0.2840578556060791","0.2840578556060791","0.2840578556060791"
"22","0.030211228877305984","0.030211228877305984","0.030211228877305984","0.06294766068458557","0.06294766068458557","0.06294766068458557","0.1415092945098877","0.1415092945098877","0.1415092945098877","0.8698112964630127","0.8698112964630127","0.8698112964630127","0.8503982424736023","0.8503982424736023","0.8503982424736023","0.8110771179199219","0.8110771179199219","0.8110771179199219","0.3722398281097412","0.3722398281097412","0.3722398281097412"
"24","0.03135538846254349","0.03135538846254349","0.03135538846254349","0.06363965570926666","0.06363965570926666","0.06363965570926666","0.16133350133895874","0.16133350133895874","0.16133350133895874","0.8545357584953308","0.8545357584953308","0.8545357584953308","0.8760064840316772","0.8760064840316772","0.8760064840316772","0.8152596950531006","0.8152596950531006","0.8152596950531006","0.4129224717617035","0.4129224717617035","0.4129224717617035"
"26","0.03504209965467453","0.03504209965467453","0.03504209965467453","0.07064102590084076","0.07064102590084076","0.07064102590084076","0.18042555451393127","0.18042555451393127","0.18042555451393127","0.8434935808181763","0.8434935808181763","0.8434935808181763","0.8147445917129517","0.8147445917129517","0.8147445917129517","0.760371208190918","0.760371208190918","0.760371208190918","0.4382959008216858","0.4382959008216858","0.4382959008216858"
"28","0.036400001496076584","0.036400001496076584","0.036400001496076584","0.07256150245666504","0.07256150245666504","0.07256150245666504","0.17854011058807373","0.17854011058807373","0.17854011058807373","0.8909302949905396","0.8909302949905396","0.8909302949905396","0.8150385618209839","0.8150385618209839","0.8150385618209839","0.7996269464492798","0.7996269464492798","0.7996269464492798","0.44344377517700195","0.44344377517700195","0.44344377517700195"
"30","0.033401452004909515","0.033401452004909515","0.033401452004909515","0.06558384746313095","0.06558384746313095","0.06558384746313095","0.17934231460094452","0.17934231460094452","0.17934231460094452","0.8326362371444702","0.8326362371444702","0.8326362371444702","0.7697557210922241","0.7697557210922241","0.7697557210922241","0.7270263433456421","0.7270263433456421","0.7270263433456421","0.4201168417930603","0.4201168417930603","0.4201168417930603"
"32","0.035317257046699524","0.035317257046699524","0.035317257046699524","0.08300569653511047","0.08300569653511047","0.08300569653511047","0.18112218379974365","0.18112218379974365","0.18112218379974365","0.8659883737564087","0.8659883737564087","0.8659883737564087","0.761132001876831","0.761132001876831","0.761132001876831","0.6838051676750183","0.6838051676750183","0.6838051676750183","0.4127524793148041","0.4127524793148041","0.4127524793148041"
"34","0.04022078216075897","0.04022078216075897","0.04022078216075897","0.07591155916452408","0.07591155916452408","0.07591155916452408","0.23476462066173553","0.23476462066173553","0.23476462066173553","0.9048219919204712","0.9048219919204712","0.9048219919204712","0.863834023475647","0.863834023475647","0.863834023475647","0.758450984954834","0.758450984954834","0.758450984954834","0.5416394472122192","0.5416394472122192","0.5416394472122192"
