"Step","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b40_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b20_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MAX"
"20","0.00005003585829399526","0.00005003585829399526","0.00005003585829399526","0.00008078011160250753","0.00008078011160250753","0.00008078011160250753","0.00023484299890697002","0.00023484299890697002","0.00023484299890697002","1.1829617023468018","1.1829617023468018","1.1829617023468018","0.5932558178901672","0.5932558178901672","0.5932558178901672","0.18122337758541107","0.18122337758541107","0.18122337758541107","0.0012969870585948229","0.0012969870585948229","0.0012969870585948229"
"22","0.00003622579970397055","0.00003622579970397055","0.00003622579970397055","0.00007428628305206075","0.00007428628305206075","0.00007428628305206075","0.0003004879108630121","0.0003004879108630121","0.0003004879108630121","1.163611650466919","1.163611650466919","1.163611650466919","0.6102823615074158","0.6102823615074158","0.6102823615074158","0.2482590228319168","0.2482590228319168","0.2482590228319168","0.002384352032095194","0.002384352032095194","0.002384352032095194"
"24","0.00003307856241008267","0.00003307856241008267","0.00003307856241008267","0.00009162478090729564","0.00009162478090729564","0.00009162478090729564","0.0004969626897946","0.0004969626897946","0.0004969626897946","1.1426023244857788","1.1426023244857788","1.1426023244857788","0.7589267492294312","0.7589267492294312","0.7589267492294312","0.344735324382782","0.344735324382782","0.344735324382782","0.005400793626904488","0.005400793626904488","0.005400793626904488"
"26","0.000040579907363280654","0.000040579907363280654","0.000040579907363280654","0.0001310683146584779","0.0001310683146584779","0.0001310683146584779","0.0008730108384042978","0.0008730108384042978","0.0008730108384042978","1.13767671585083","1.13767671585083","1.13767671585083","0.8429985046386719","0.8429985046386719","0.8429985046386719","0.3857741355895996","0.3857741355895996","0.3857741355895996","0.014409727416932583","0.014409727416932583","0.014409727416932583"
"28","0.00003328025195514783","0.00003328025195514783","0.00003328025195514783","0.00014016844215802848","0.00014016844215802848","0.00014016844215802848","0.0012026275508105755","0.0012026275508105755","0.0012026275508105755","1.177767038345337","1.177767038345337","1.177767038345337","0.828198254108429","0.828198254108429","0.828198254108429","0.36062729358673096","0.36062729358673096","0.36062729358673096","0.021923255175352097","0.021923255175352097","0.021923255175352097"
"30","0.00003855629620375112","0.00003855629620375112","0.00003855629620375112","0.0002037155645666644","0.0002037155645666644","0.0002037155645666644","0.002342750085517764","0.002342750085517764","0.002342750085517764","1.144707202911377","1.144707202911377","1.144707202911377","0.8998996615409851","0.8998996615409851","0.8998996615409851","0.4061136543750763","0.4061136543750763","0.4061136543750763","0.040146954357624054","0.040146954357624054","0.040146954357624054"
"32","0.00004539970541372895","0.00004539970541372895","0.00004539970541372895","0.0003196385223418474","0.0003196385223418474","0.0003196385223418474","0.00451896945014596","0.00451896945014596","0.00451896945014596","1.1758792400360107","1.1758792400360107","1.1758792400360107","0.9282187819480896","0.9282187819480896","0.9282187819480896","0.4404281973838806","0.4404281973838806","0.4404281973838806","0.0677068680524826","0.0677068680524826","0.0677068680524826"
"34","0.00006902620225446299","0.00006902620225446299","0.00006902620225446299","0.000645299325697124","0.000645299325697124","0.000645299325697124","0.0111162681132555","0.0111162681132555","0.0111162681132555","1.1758694648742676","1.1758694648742676","1.1758694648742676","0.9460443258285522","0.9460443258285522","0.9460443258285522","0.452740341424942","0.452740341424942","0.452740341424942","0.11134064197540283","0.11134064197540283","0.11134064197540283"
"36","0.00008397620695177466","0.00008397620695177466","0.00008397620695177466","0.0009655597386881709","0.0009655597386881709","0.0009655597386881709","0.013583878986537457","0.013583878986537457","0.013583878986537457","1.1407957077026367","1.1407957077026367","1.1407957077026367","0.8941748738288879","0.8941748738288879","0.8941748738288879","0.42131495475769043","0.42131495475769043","0.42131495475769043","0.11888904124498367","0.11888904124498367","0.11888904124498367"
"38","0.00011924874706892297","0.00011924874706892297","0.00011924874706892297","0.0014158057747408748","0.0014158057747408748","0.0014158057747408748","0.016993515193462372","0.016993515193462372","0.016993515193462372","1.2074182033538818","1.2074182033538818","1.2074182033538818","0.9435378313064575","0.9435378313064575","0.9435378313064575","0.43825796246528625","0.43825796246528625","0.43825796246528625","0.1331622302532196","0.1331622302532196","0.1331622302532196"
"40","0.0001693742669885978","0.0001693742669885978","0.0001693742669885978","0.0021785800345242023","0.0021785800345242023","0.0021785800345242023","0.024231577292084694","0.024231577292084694","0.024231577292084694","1.153785228729248","1.153785228729248","1.153785228729248","0.9006171226501465","0.9006171226501465","0.9006171226501465","0.4448642134666443","0.4448642134666443","0.4448642134666443","0.16851632297039032","0.16851632297039032","0.16851632297039032"
"42","0.00027867950848303735","0.00027867950848303735","0.00027867950848303735","0.003497876925393939","0.003497876925393939","0.003497876925393939","0.04565437510609627","0.04565437510609627","0.04565437510609627","1.151199221611023","1.151199221611023","1.151199221611023","0.9151297211647034","0.9151297211647034","0.9151297211647034","0.46920645236968994","0.46920645236968994","0.46920645236968994","0.19456642866134644","0.19456642866134644","0.19456642866134644"
"44","0.00046943436609581113","0.00046943436609581113","0.00046943436609581113","0.0053344061598181725","0.0053344061598181725","0.0053344061598181725","0.0616060346364975","0.0616060346364975","0.0616060346364975","1.141767978668213","1.141767978668213","1.141767978668213","0.9769747853279114","0.9769747853279114","0.9769747853279114","0.46991705894470215","0.46991705894470215","0.46991705894470215","0.21684543788433075","0.21684543788433075","0.21684543788433075"
"46","0.0006699612131342292","0.0006699612131342292","0.0006699612131342292","0.006660311482846737","0.006660311482846737","0.006660311482846737","0.07646112889051437","0.07646112889051437","0.07646112889051437","1.1489841938018799","1.1489841938018799","1.1489841938018799","0.9864254593849182","0.9864254593849182","0.9864254593849182","0.5003485083580017","0.5003485083580017","0.5003485083580017","0.2348502278327942","0.2348502278327942","0.2348502278327942"
"48","0.0009689897997304797","0.0009689897997304797","0.0009689897997304797","0.00864350888878107","0.00864350888878107","0.00864350888878107","0.08817158639431","0.08817158639431","0.08817158639431","1.1329598426818848","1.1329598426818848","1.1329598426818848","0.9981682896614075","0.9981682896614075","0.9981682896614075","0.49881237745285034","0.49881237745285034","0.49881237745285034","0.2456856071949005","0.2456856071949005","0.2456856071949005"
"50","0.0012485213810577989","0.0012485213810577989","0.0012485213810577989","0.010002088733017445","0.010002088733017445","0.010002088733017445","0.09836684912443161","0.09836684912443161","0.09836684912443161","1.1654671430587769","1.1654671430587769","1.1654671430587769","0.9535261988639832","0.9535261988639832","0.9535261988639832","0.5158094167709351","0.5158094167709351","0.5158094167709351","0.2636229991912842","0.2636229991912842","0.2636229991912842"
"52","0.001926336670294404","0.001926336670294404","0.001926336670294404","0.01665758155286312","0.01665758155286312","0.01665758155286312","0.1340075582265854","0.1340075582265854","0.1340075582265854","1.1660963296890259","1.1660963296890259","1.1660963296890259","1.0325517654418945","1.0325517654418945","1.0325517654418945","0.5366436839103699","0.5366436839103699","0.5366436839103699","0.3054201900959015","0.3054201900959015","0.3054201900959015"
"54","0.0023338908795267344","0.0023338908795267344","0.0023338908795267344","0.017662588506937027","0.017662588506937027","0.017662588506937027","0.1492006480693817","0.1492006480693817","0.1492006480693817","1.1721489429473877","1.1721489429473877","1.1721489429473877","1.0296725034713745","1.0296725034713745","1.0296725034713745","0.5422248840332031","0.5422248840332031","0.5422248840332031","0.31283774971961975","0.31283774971961975","0.31283774971961975"
"56","0.0024577942676842213","0.0024577942676842213","0.0024577942676842213","0.017006682232022285","0.017006682232022285","0.017006682232022285","0.14025425910949707","0.14025425910949707","0.14025425910949707","1.190641164779663","1.190641164779663","1.190641164779663","1.091261625289917","1.091261625289917","1.091261625289917","0.3660139739513397","0.3660139739513397","0.3660139739513397","0.276081383228302","0.276081383228302","0.276081383228302"
"58","0.0032507029827684164","0.0032507029827684164","0.0032507029827684164","0.023652901872992516","0.023652901872992516","0.023652901872992516","0.15906396508216858","0.15906396508216858","0.15906396508216858","1.1999194622039795","1.1999194622039795","1.1999194622039795","1.0555968284606934","1.0555968284606934","1.0555968284606934","0.49147942662239075","0.49147942662239075","0.49147942662239075","0.3084879517555237","0.3084879517555237","0.3084879517555237"
"60","0.004010929726064205","0.004010929726064205","0.004010929726064205","0.02871132455766201","0.02871132455766201","0.02871132455766201","0.1802566945552826","0.1802566945552826","0.1802566945552826","1.203194260597229","1.203194260597229","1.203194260597229","1.0980095863342285","1.0980095863342285","1.0980095863342285","0.45754802227020264","0.45754802227020264","0.45754802227020264","0.30350589752197266","0.30350589752197266","0.30350589752197266"
"62","0.004599531646817923","0.004599531646817923","0.004599531646817923","0.03463444113731384","0.03463444113731384","0.03463444113731384","0.2031833678483963","0.2031833678483963","0.2031833678483963","1.1589694023132324","1.1589694023132324","1.1589694023132324","1.0473308563232422","1.0473308563232422","1.0473308563232422","0.5420309901237488","0.5420309901237488","0.5420309901237488","0.3380589783191681","0.3380589783191681","0.3380589783191681"
"64","0.005432080943137407","0.005432080943137407","0.005432080943137407","0.037769388407468796","0.037769388407468796","0.037769388407468796","0.2098037153482437","0.2098037153482437","0.2098037153482437","1.1951185464859009","1.1951185464859009","1.1951185464859009","1.0618462562561035","1.0618462562561035","1.0618462562561035","0.5541251301765442","0.5541251301765442","0.5541251301765442","0.34981727600097656","0.34981727600097656","0.34981727600097656"
"66","0.006119420751929283","0.006119420751929283","0.006119420751929283","0.043325964361429214","0.043325964361429214","0.043325964361429214","0.22927385568618774","0.22927385568618774","0.22927385568618774","1.1569280624389648","1.1569280624389648","1.1569280624389648","1.0626704692840576","1.0626704692840576","1.0626704692840576","0.5771815776824951","0.5771815776824951","0.5771815776824951","0.3689021170139313","0.3689021170139313","0.3689021170139313"
"68","0.00681287469342351","0.00681287469342351","0.00681287469342351","0.046881597489118576","0.046881597489118576","0.046881597489118576","0.2207273691892624","0.2207273691892624","0.2207273691892624","1.1993228197097778","1.1993228197097778","1.1993228197097778","1.0272343158721924","1.0272343158721924","1.0272343158721924","0.5720654726028442","0.5720654726028442","0.5720654726028442","0.3512246012687683","0.3512246012687683","0.3512246012687683"
"70","0.00801818072795868","0.00801818072795868","0.00801818072795868","0.06044938415288925","0.06044938415288925","0.06044938415288925","0.22720661759376526","0.22720661759376526","0.22720661759376526","1.1365584135055542","1.1365584135055542","1.1365584135055542","1.0586796998977661","1.0586796998977661","1.0586796998977661","0.5715177059173584","0.5715177059173584","0.5715177059173584","0.3551446199417114","0.3551446199417114","0.3551446199417114"
"72","0.009200633503496647","0.009200633503496647","0.009200633503496647","0.06242052838206291","0.06242052838206291","0.06242052838206291","0.25150132179260254","0.25150132179260254","0.25150132179260254","1.1894795894622803","1.1894795894622803","1.1894795894622803","1.0376677513122559","1.0376677513122559","1.0376677513122559","0.6363397836685181","0.6363397836685181","0.6363397836685181","0.3696909248828888","0.3696909248828888","0.3696909248828888"
"74","0.010271457955241203","0.010271457955241203","0.010271457955241203","0.06885179877281189","0.06885179877281189","0.06885179877281189","0.2561340928077698","0.2561340928077698","0.2561340928077698","1.1895447969436646","1.1895447969436646","1.1895447969436646","1.0404183864593506","1.0404183864593506","1.0404183864593506","0.6238172054290771","0.6238172054290771","0.6238172054290771","0.3820157051086426","0.3820157051086426","0.3820157051086426"
"76","0.01374111045151949","0.01374111045151949","0.01374111045151949","0.09210243076086044","0.09210243076086044","0.09210243076086044","0.26701250672340393","0.26701250672340393","0.26701250672340393","1.1524772644042969","1.1524772644042969","1.1524772644042969","1.102189540863037","1.102189540863037","1.102189540863037","0.6693514585494995","0.6693514585494995","0.6693514585494995","0.3914889693260193","0.3914889693260193","0.3914889693260193"
"78","0.012564207427203655","0.012564207427203655","0.012564207427203655","0.09101652354001999","0.09101652354001999","0.09101652354001999","0.29617035388946533","0.29617035388946533","0.29617035388946533","1.1697664260864258","1.1697664260864258","1.1697664260864258","1.091710090637207","1.091710090637207","1.091710090637207","0.7346011996269226","0.7346011996269226","0.7346011996269226","0.4123173654079437","0.4123173654079437","0.4123173654079437"
"80","0.015863735228776932","0.015863735228776932","0.015863735228776932","0.09957446902990341","0.09957446902990341","0.09957446902990341","0.28076472878456116","0.28076472878456116","0.28076472878456116","1.1650958061218262","1.1650958061218262","1.1650958061218262","1.0566974878311157","1.0566974878311157","1.0566974878311157","0.7900930643081665","0.7900930643081665","0.7900930643081665","0.4054635167121887","0.4054635167121887","0.4054635167121887"
"82","0.016325807198882103","0.016325807198882103","0.016325807198882103","0.11251740157604218","0.11251740157604218","0.11251740157604218","0.2612990438938141","0.2612990438938141","0.2612990438938141","1.1621267795562744","1.1621267795562744","1.1621267795562744","1.100771427154541","1.100771427154541","1.100771427154541","0.764428973197937","0.764428973197937","0.764428973197937","0.3825019598007202","0.3825019598007202","0.3825019598007202"
"84","0.01942492090165615","0.01942492090165615","0.01942492090165615","0.12244607508182526","0.12244607508182526","0.12244607508182526","0.28168126940727234","0.28168126940727234","0.28168126940727234","1.1796139478683472","1.1796139478683472","1.1796139478683472","1.087817907333374","1.087817907333374","1.087817907333374","0.7826897501945496","0.7826897501945496","0.7826897501945496","0.3971158266067505","0.3971158266067505","0.3971158266067505"
"86","0.0236105527728796","0.0236105527728796","0.0236105527728796","0.1368967890739441","0.1368967890739441","0.1368967890739441","0.30649739503860474","0.30649739503860474","0.30649739503860474","1.149062991142273","1.149062991142273","1.149062991142273","1.1128791570663452","1.1128791570663452","1.1128791570663452","0.782344400882721","0.782344400882721","0.782344400882721","0.41248050332069397","0.41248050332069397","0.41248050332069397"
"88","0.020186156034469604","0.020186156034469604","0.020186156034469604","0.12630411982536316","0.12630411982536316","0.12630411982536316","0.2645736634731293","0.2645736634731293","0.2645736634731293","1.278243064880371","1.278243064880371","1.278243064880371","1.0461220741271973","1.0461220741271973","1.0461220741271973","0.7748046517372131","0.7748046517372131","0.7748046517372131","0.3580820560455322","0.3580820560455322","0.3580820560455322"
"90","0.02643483504652977","0.02643483504652977","0.02643483504652977","0.15737463533878326","0.15737463533878326","0.15737463533878326","0.3210284411907196","0.3210284411907196","0.3210284411907196","1.1679035425186157","1.1679035425186157","1.1679035425186157","1.1122349500656128","1.1122349500656128","1.1122349500656128","0.8781079053878784","0.8781079053878784","0.8781079053878784","0.4197033643722534","0.4197033643722534","0.4197033643722534"
"92","0.029039893299341202","0.029039893299341202","0.029039893299341202","0.1686071902513504","0.1686071902513504","0.1686071902513504","0.31607142090797424","0.31607142090797424","0.31607142090797424","1.208540439605713","1.208540439605713","1.208540439605713","1.0690202713012695","1.0690202713012695","1.0690202713012695","0.8968271017074585","0.8968271017074585","0.8968271017074585","0.41962042450904846","0.41962042450904846","0.41962042450904846"
"94","0.0307373758405447","0.0307373758405447","0.0307373758405447","0.165436252951622","0.165436252951622","0.165436252951622","0.3043254613876343","0.3043254613876343","0.3043254613876343","1.1613574028015137","1.1613574028015137","1.1613574028015137","1.096342921257019","1.096342921257019","1.096342921257019","0.8988777995109558","0.8988777995109558","0.8988777995109558","0.4204375445842743","0.4204375445842743","0.4204375445842743"
"96","0.03699643537402153","0.03699643537402153","0.03699643537402153","0.20170578360557556","0.20170578360557556","0.20170578360557556","0.3235189914703369","0.3235189914703369","0.3235189914703369","1.1560063362121582","1.1560063362121582","1.1560063362121582","1.0926978588104248","1.0926978588104248","1.0926978588104248","0.8840886354446411","0.8840886354446411","0.8840886354446411","0.4284486472606659","0.4284486472606659","0.4284486472606659"
"98","0.046284936368465424","0.046284936368465424","0.046284936368465424","0.2310471534729004","0.2310471534729004","0.2310471534729004","0.37425804138183594","0.37425804138183594","0.37425804138183594","1.1854504346847534","1.1854504346847534","1.1854504346847534","1.0931847095489502","1.0931847095489502","1.0931847095489502","0.9216423630714417","0.9216423630714417","0.9216423630714417","0.44739970564842224","0.44739970564842224","0.44739970564842224"
"100","0.041515424847602844","0.041515424847602844","0.041515424847602844","0.2019481658935547","0.2019481658935547","0.2019481658935547","0.3384956121444702","0.3384956121444702","0.3384956121444702","1.1632349491119385","1.1632349491119385","1.1632349491119385","1.1147539615631104","1.1147539615631104","1.1147539615631104","0.8533623814582825","0.8533623814582825","0.8533623814582825","0.43429189920425415","0.43429189920425415","0.43429189920425415"
"102","0.04363328218460083","0.04363328218460083","0.04363328218460083","0.20567652583122253","0.20567652583122253","0.20567652583122253","0.3482173979282379","0.3482173979282379","0.3482173979282379","1.1938680410385132","1.1938680410385132","1.1938680410385132","1.0999959707260132","1.0999959707260132","1.0999959707260132","0.885838508605957","0.885838508605957","0.885838508605957","0.4460703134536743","0.4460703134536743","0.4460703134536743"
"104","0.045507270842790604","0.045507270842790604","0.045507270842790604","0.2110937535762787","0.2110937535762787","0.2110937535762787","0.3441481292247772","0.3441481292247772","0.3441481292247772","1.1899685859680176","1.1899685859680176","1.1899685859680176","1.1113604307174683","1.1113604307174683","1.1113604307174683","0.8047682046890259","0.8047682046890259","0.8047682046890259","0.43427667021751404","0.43427667021751404","0.43427667021751404"
"106","0.05358895659446716","0.05358895659446716","0.05358895659446716","0.2357603907585144","0.2357603907585144","0.2357603907585144","0.38156771659851074","0.38156771659851074","0.38156771659851074","1.1914808750152588","1.1914808750152588","1.1914808750152588","1.1114976406097412","1.1114976406097412","1.1114976406097412","0.8087509870529175","0.8087509870529175","0.8087509870529175","0.47861623764038086","0.47861623764038086","0.47861623764038086"
"108","0.053846575319767","0.053846575319767","0.053846575319767","0.22723737359046936","0.22723737359046936","0.22723737359046936","0.3559126853942871","0.3559126853942871","0.3559126853942871","1.1471165418624878","1.1471165418624878","1.1471165418624878","1.1013550758361816","1.1013550758361816","1.1013550758361816","0.800074577331543","0.800074577331543","0.800074577331543","0.4412229359149933","0.4412229359149933","0.4412229359149933"
"110","0.05673911049962044","0.05673911049962044","0.05673911049962044","0.23836453258991241","0.23836453258991241","0.23836453258991241","0.3682892918586731","0.3682892918586731","0.3682892918586731","1.1809883117675781","1.1809883117675781","1.1809883117675781","1.1286063194274902","1.1286063194274902","1.1286063194274902","0.9183679819107056","0.9183679819107056","0.9183679819107056","0.45540887117385864","0.45540887117385864","0.45540887117385864"
"112","0.06001732498407364","0.06001732498407364","0.06001732498407364","0.23868146538734436","0.23868146538734436","0.23868146538734436","0.34663107991218567","0.34663107991218567","0.34663107991218567","1.2066915035247803","1.2066915035247803","1.2066915035247803","1.1200730800628662","1.1200730800628662","1.1200730800628662","0.8433223962783813","0.8433223962783813","0.8433223962783813","0.4290901720523834","0.4290901720523834","0.4290901720523834"
"114","0.06864042580127716","0.06864042580127716","0.06864042580127716","0.26373326778411865","0.26373326778411865","0.26373326778411865","0.3859928846359253","0.3859928846359253","0.3859928846359253","1.1469056606292725","1.1469056606292725","1.1469056606292725","1.0953397750854492","1.0953397750854492","1.0953397750854492","0.8516244888305664","0.8516244888305664","0.8516244888305664","0.48507609963417053","0.48507609963417053","0.48507609963417053"
"116","0.07780689746141434","0.07780689746141434","0.07780689746141434","0.2662515938282013","0.2662515938282013","0.2662515938282013","0.39591124653816223","0.39591124653816223","0.39591124653816223","1.196480631828308","1.196480631828308","1.196480631828308","1.1396396160125732","1.1396396160125732","1.1396396160125732","0.8202369213104248","0.8202369213104248","0.8202369213104248","0.4708682596683502","0.4708682596683502","0.4708682596683502"
"118","0.08357474207878113","0.08357474207878113","0.08357474207878113","0.2765581011772156","0.2765581011772156","0.2765581011772156","0.39894527196884155","0.39894527196884155","0.39894527196884155","1.1710398197174072","1.1710398197174072","1.1710398197174072","1.1574461460113525","1.1574461460113525","1.1574461460113525","0.9764645099639893","0.9764645099639893","0.9764645099639893","0.47981998324394226","0.47981998324394226","0.47981998324394226"
"120","0.0933271199464798","0.0933271199464798","0.0933271199464798","0.31061503291130066","0.31061503291130066","0.31061503291130066","0.42796188592910767","0.42796188592910767","0.42796188592910767","1.178999423980713","1.178999423980713","1.178999423980713","1.1646332740783691","1.1646332740783691","1.1646332740783691","0.9283370971679688","0.9283370971679688","0.9283370971679688","0.5088361501693726","0.5088361501693726","0.5088361501693726"
"122","0.07657334953546524","0.07657334953546524","0.07657334953546524","0.24575118720531464","0.24575118720531464","0.24575118720531464","0.34465885162353516","0.34465885162353516","0.34465885162353516","1.1793413162231445","1.1793413162231445","1.1793413162231445","1.0798258781433105","1.0798258781433105","1.0798258781433105","0.8155369758605957","0.8155369758605957","0.8155369758605957","0.44100961089134216","0.44100961089134216","0.44100961089134216"
"124","0.10432705283164978","0.10432705283164978","0.10432705283164978","0.30919262766838074","0.30919262766838074","0.30919262766838074","0.4193877577781677","0.4193877577781677","0.4193877577781677","1.1672110557556152","1.1672110557556152","1.1672110557556152","1.148935317993164","1.148935317993164","1.148935317993164","0.9170985817909241","0.9170985817909241","0.9170985817909241","0.516169548034668","0.516169548034668","0.516169548034668"
