"Step","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_z","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_z__MIN","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_z__MAX","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_z","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_z__MIN","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_z__MAX","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_z","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_z__MIN","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_z__MAX","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_z","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_z__MIN","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_z__MAX","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_z","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_z__MIN","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_z__MAX","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_z","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_z__MIN","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z__MAX","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_z","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_z","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_z","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z__MAX"
"0","454.63079833984375","454.63079833984375","454.63079833984375","478.5948181152344","478.5948181152344","478.5948181152344","0","0","0","0","0","0","389.4296875","389.4296875","389.4296875","458.1626892089844","458.1626892089844","458.1626892089844","0","0","0","0","0","0","48.35218048095703","48.35218048095703","48.35218048095703","50.58346176147461","50.58346176147461","50.58346176147461","47.909523010253906","47.909523010253906","47.909523010253906","41.21549606323242","41.21549606323242","41.21549606323242"
"2","192.06393432617188","192.06393432617188","192.06393432617188","203.62100219726562","203.62100219726562","203.62100219726562","0","0","0","0","0","0","166.25570678710938","166.25570678710938","166.25570678710938","188.30458068847656","188.30458068847656","188.30458068847656","0","0","0","0","0","0","24.71013641357422","24.71013641357422","24.71013641357422","25.73777198791504","25.73777198791504","25.73777198791504","25.139713287353516","25.139713287353516","25.139713287353516","22.048259735107422","22.048259735107422","22.048259735107422"
"4","68.47541046142578","68.47541046142578","68.47541046142578","69.57038879394531","69.57038879394531","69.57038879394531","0","0","0","0","0","0","61.18994903564453","61.18994903564453","61.18994903564453","71.0119400024414","71.0119400024414","71.0119400024414","0","0","0","0","0","0","11.299480438232422","11.299480438232422","11.299480438232422","11.385976791381836","11.385976791381836","11.385976791381836","11.404563903808594","11.404563903808594","11.404563903808594","10.177384376525879","10.177384376525879","10.177384376525879"
"6","27.110158920288086","27.110158920288086","27.110158920288086","24.258535385131836","24.258535385131836","24.258535385131836","0","0","0","0","0","0","28.802001953125","28.802001953125","28.802001953125","29.214664459228516","29.214664459228516","29.214664459228516","0","0","0","0","0","0","5.460991382598877","5.460991382598877","5.460991382598877","5.184454917907715","5.184454917907715","5.184454917907715","5.393260955810547","5.393260955810547","5.393260955810547","5.318032264709473","5.318032264709473","5.318032264709473"
"8","11.540433883666992","11.540433883666992","11.540433883666992","9.73023509979248","9.73023509979248","9.73023509979248","0","0","0","0","0","0","11.087082862854004","11.087082862854004","11.087082862854004","11.880037307739258","11.880037307739258","11.880037307739258","0","0","0","0","0","0","2.8346033096313477","2.8346033096313477","2.8346033096313477","2.5781922340393066","2.5781922340393066","2.5781922340393066","2.8234338760375977","2.8234338760375977","2.8234338760375977","2.566483497619629","2.566483497619629","2.566483497619629"
"10","5.5840535163879395","5.5840535163879395","5.5840535163879395","5.160465240478516","5.160465240478516","5.160465240478516","0","0","0","0","0","0","5.821613311767578","5.821613311767578","5.821613311767578","5.835537433624268","5.835537433624268","5.835537433624268","0","0","0","0","0","0","1.716613531112671","1.716613531112671","1.716613531112671","1.5187311172485352","1.5187311172485352","1.5187311172485352","1.5424822568893433","1.5424822568893433","1.5424822568893433","1.6093811988830566","1.6093811988830566","1.6093811988830566"
"12","3.3377959728240967","3.3377959728240967","3.3377959728240967","3.1578049659729004","3.1578049659729004","3.1578049659729004","0","0","0","0","0","0","3.348900318145752","3.348900318145752","3.348900318145752","3.3776469230651855","3.3776469230651855","3.3776469230651855","0","0","0","0","0","0","1.2802940607070923","1.2802940607070923","1.2802940607070923","0.976830005645752","0.976830005645752","0.976830005645752","0.9095726013183594","0.9095726013183594","0.9095726013183594","0.9724855422973633","0.9724855422973633","0.9724855422973633"
"14","2.1235525608062744","2.1235525608062744","2.1235525608062744","1.886892318725586","1.886892318725586","1.886892318725586","0","0","0","0","0","0","2.7906007766723633","2.7906007766723633","2.7906007766723633","2.459939479827881","2.459939479827881","2.459939479827881","0","0","0","0","0","0","0.6860578656196594","0.6860578656196594","0.6860578656196594","0.6485742926597595","0.6485742926597595","0.6485742926597595","0.5986217260360718","0.5986217260360718","0.5986217260360718","0.6916904449462891","0.6916904449462891","0.6916904449462891"
"16","1.4566011428833008","1.4566011428833008","1.4566011428833008","2.062375783920288","2.062375783920288","2.062375783920288","0","0","0","0","0","0","2.4028286933898926","2.4028286933898926","2.4028286933898926","1.7402760982513428","1.7402760982513428","1.7402760982513428","0","0","0","0","0","0","0.564248263835907","0.564248263835907","0.564248263835907","0.47889605164527893","0.47889605164527893","0.47889605164527893","0.40672212839126587","0.40672212839126587","0.40672212839126587","0.6612208485603333","0.6612208485603333","0.6612208485603333"
"18","1.2762404680252075","1.2762404680252075","1.2762404680252075","1.5868216753005981","1.5868216753005981","1.5868216753005981","0","0","0","0","0","0","1.8965065479278564","1.8965065479278564","1.8965065479278564","2.32879376411438","2.32879376411438","2.32879376411438","0","0","0","0","0","0","0.38475990295410156","0.38475990295410156","0.38475990295410156","0.4874725639820099","0.4874725639820099","0.4874725639820099","0.31570494174957275","0.31570494174957275","0.31570494174957275","0.3739883005619049","0.3739883005619049","0.3739883005619049"
