"Step","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b10_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EWT_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_EMD_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_VMD_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MAX"
"20","12.686967849731445","12.686967849731445","12.686967849731445","40.31208038330078","40.31208038330078","40.31208038330078","0","0","0","0","0","0","41.546104431152344","41.546104431152344","41.546104431152344","44.54064178466797","44.54064178466797","44.54064178466797","0","0","0","0","0","0","2.6427388191223145","2.6427388191223145","2.6427388191223145","3.828871250152588","3.828871250152588","3.828871250152588","1.425492763519287","1.425492763519287","1.425492763519287","2.7582736015319824","2.7582736015319824","2.7582736015319824"
"22","13.667673110961914","13.667673110961914","13.667673110961914","39.597599029541016","39.597599029541016","39.597599029541016","0","0","0","0","0","0","34.135162353515625","34.135162353515625","34.135162353515625","35.75098419189453","35.75098419189453","35.75098419189453","0","0","0","0","0","0","3.6547064781188965","3.6547064781188965","3.6547064781188965","1.9843429327011108","1.9843429327011108","1.9843429327011108","3.0551342964172363","3.0551342964172363","3.0551342964172363","2.6138038635253906","2.6138038635253906","2.6138038635253906"
"24","14.702528953552246","14.702528953552246","14.702528953552246","32.952903747558594","32.952903747558594","32.952903747558594","0","0","0","0","0","0","36.04549026489258","36.04549026489258","36.04549026489258","33.811241149902344","33.811241149902344","33.811241149902344","0","0","0","0","0","0","0.7868140935897827","0.7868140935897827","0.7868140935897827","1.0106831789016724","1.0106831789016724","1.0106831789016724","2.138731002807617","2.138731002807617","2.138731002807617","3.1893670558929443","3.1893670558929443","3.1893670558929443"
"26","15.300273895263672","15.300273895263672","15.300273895263672","29.354333877563477","29.354333877563477","29.354333877563477","0","0","0","0","0","0","31.750648498535156","31.750648498535156","31.750648498535156","31.490385055541992","31.490385055541992","31.490385055541992","0","0","0","0","0","0","1.7037659883499146","1.7037659883499146","1.7037659883499146","1.502177119255066","1.502177119255066","1.502177119255066","3.694671392440796","3.694671392440796","3.694671392440796","2.687856674194336","2.687856674194336","2.687856674194336"
"28","16.052453994750977","16.052453994750977","16.052453994750977","25.97406578063965","25.97406578063965","25.97406578063965","0","0","0","0","0","0","27.968347549438477","27.968347549438477","27.968347549438477","29.966712951660156","29.966712951660156","29.966712951660156","0","0","0","0","0","0","1.4501959085464478","1.4501959085464478","1.4501959085464478","1.6645342111587524","1.6645342111587524","1.6645342111587524","3.857663154602051","3.857663154602051","3.857663154602051","3.3730149269104004","3.3730149269104004","3.3730149269104004"
"30","17.573684692382812","17.573684692382812","17.573684692382812","22.375852584838867","22.375852584838867","22.375852584838867","0","0","0","0","0","0","30.379592895507812","30.379592895507812","30.379592895507812","29.279916763305664","29.279916763305664","29.279916763305664","0","0","0","0","0","0","2.1506965160369873","2.1506965160369873","2.1506965160369873","0.7552146911621094","0.7552146911621094","0.7552146911621094","3.932806968688965","3.932806968688965","3.932806968688965","3.1492292881011963","3.1492292881011963","3.1492292881011963"
"32","18.437744140625","18.437744140625","18.437744140625","22.804706573486328","22.804706573486328","22.804706573486328","0","0","0","0","0","0","26.217729568481445","26.217729568481445","26.217729568481445","28.97500991821289","28.97500991821289","28.97500991821289","0","0","0","0","0","0","3.722083568572998","3.722083568572998","3.722083568572998","2.668306350708008","2.668306350708008","2.668306350708008","3.008335828781128","3.008335828781128","3.008335828781128","2.7753233909606934","2.7753233909606934","2.7753233909606934"
"34","19.5159912109375","19.5159912109375","19.5159912109375","20.641624450683594","20.641624450683594","20.641624450683594","0","0","0","0","0","0","27.013212203979492","27.013212203979492","27.013212203979492","25.8969669342041","25.8969669342041","25.8969669342041","0","0","0","0","0","0","1.582956314086914","1.582956314086914","1.582956314086914","1.3221770524978638","1.3221770524978638","1.3221770524978638","2.5632052421569824","2.5632052421569824","2.5632052421569824","2.0320205688476562","2.0320205688476562","2.0320205688476562"
"36","23.62680435180664","23.62680435180664","23.62680435180664","24.104923248291016","24.104923248291016","24.104923248291016","0","0","0","0","0","0","19.53268051147461","19.53268051147461","19.53268051147461","25.068164825439453","25.068164825439453","25.068164825439453","0","0","0","0","0","0","3.1600117683410645","3.1600117683410645","3.1600117683410645","4.861161231994629","4.861161231994629","4.861161231994629","4.035708427429199","4.035708427429199","4.035708427429199","2.2655277252197266","2.2655277252197266","2.2655277252197266"
"38","21.57524299621582","21.57524299621582","21.57524299621582","20.842910766601562","20.842910766601562","20.842910766601562","0","0","0","0","0","0","20.80014419555664","20.80014419555664","20.80014419555664","20.426511764526367","20.426511764526367","20.426511764526367","0","0","0","0","0","0","2.48630952835083","2.48630952835083","2.48630952835083","2.7530133724212646","2.7530133724212646","2.7530133724212646","3.4984469413757324","3.4984469413757324","3.4984469413757324","1.6784250736236572","1.6784250736236572","1.6784250736236572"
