"Step","final_TIMIT_filter_dual_NoC5_b1_50% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC5_b1_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - modularity_score all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC3_b1_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC3_b1_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_disent - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - modularity_score all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - modularity_score all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - modularity_score all phoneme speaker_frame__MAX"
"5","","","","","","","","","","0.5688449222725706","0.5688449222725706","0.5688449222725706","0.7335769134478355","0.7335769134478355","0.7335769134478355","","","","","",""
"10","0.7693556901185223","0.7693556901185223","0.7693556901185223","0.46126437320182223","0.46126437320182223","0.46126437320182223","0.5758849262998681","0.5758849262998681","0.5758849262998681","","","","","","","0.5688449222725706","0.5688449222725706","0.5688449222725706","0.541462220012321","0.541462220012321","0.541462220012321"
