"Step","final_TIMIT_filter_dual_NoC5_b1_50% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC5_b1_50% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - completeness all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - completeness all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC3_b1_50% - completeness all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC3_b1_50% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_disent - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - completeness all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - completeness all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - completeness all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - completeness all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - completeness all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - completeness all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - completeness all phoneme speaker_frame__MAX"
"3","","","","","","","","","","0.06537122418683303","0.06537122418683303","0.06537122418683303","0.0709110626011927","0.0709110626011927","0.0709110626011927","","","","","",""
"8","0.06696130638484496","0.06696130638484496","0.06696130638484496","0.06035301098348043","0.06035301098348043","0.06035301098348043","0.08618615192235717","0.08618615192235717","0.08618615192235717","","","","","","","0.0650525387290075","0.0650525387290075","0.0650525387290075","0.07238200522922154","0.07238200522922154","0.07238200522922154"
