"Step","final_TIMIT_filter_dual_NoC5_b1_50% - explicitness_score_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC5_b1_50% - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - explicitness_score_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - explicitness_score_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC3_b1_50% - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - explicitness_score_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - explicitness_score_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC3_b1_50% - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - explicitness_score_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - explicitness_score_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_disent - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - explicitness_score_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - explicitness_score_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - explicitness_score_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - explicitness_score_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - explicitness_score_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - explicitness_score_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - explicitness_score_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - explicitness_score_test all phoneme speaker_frame__MAX"
"7","","","","","","","","","","0.666062652941871","0.666062652941871","0.666062652941871","0.7008886205135678","0.7008886205135678","0.7008886205135678","","","","","",""
"12","0.6879098445383107","0.6879098445383107","0.6879098445383107","0.6804897391027377","0.6804897391027377","0.6804897391027377","0.6582694160323025","0.6582694160323025","0.6582694160323025","","","","","","","0.666062652941871","0.666062652941871","0.666062652941871","0.6733376948480612","0.6733376948480612","0.6733376948480612"
