"Step","final_TIMIT_filter_dual_NoC5_b1_50% - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC5_b1_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - disentanglement all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC3_b1_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC3_b1_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_disent - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - disentanglement all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - disentanglement all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - disentanglement all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - disentanglement all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - disentanglement all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - disentanglement all phoneme speaker_frame__MAX"
"2","","","","","","","","","","0.203302866120373","0.203302866120373","0.203302866120373","0.2592350164020908","0.2592350164020908","0.2592350164020908","","","","","",""
"7","0.24155543939786944","0.24155543939786944","0.24155543939786944","0.13837605965092098","0.13837605965092098","0.13837605965092098","0.1943329920056116","0.1943329920056116","0.1943329920056116","","","","","","","0.20265854004933384","0.20265854004933384","0.20265854004933384","0.23250782972680212","0.23250782972680212","0.23250782972680212"
