"Step","final_TIMIT_filter_dual_NoC5_b1_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC5_b1_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC3_b1_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC3_b1_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_disent - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - informativeness_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - informativeness_test all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - informativeness_test all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - informativeness_test all phoneme speaker_frame__MAX"
"1","","","","","","","","","","0.4913971340757704","0.4913971340757704","0.4913971340757704","0.4918789156096618","0.4918789156096618","0.4918789156096618","","","","","",""
"6","0.5370460005461293","0.5370460005461293","0.5370460005461293","0.4391581464744676","0.4391581464744676","0.4391581464744676","0.4663189852550202","0.4663189852550202","0.4663189852550202","","","","","","","0.4905422647458556","0.4905422647458556","0.4905422647458556","0.4723962418022948","0.4723962418022948","0.4723962418022948"
