"Step","final_TIMIT_filter_dual_NoC5_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC5_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC5_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC3_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC3_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC3_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC3_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC3_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC3_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_disent - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_disent - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_disent - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC5_b1_50%_disent - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b1_50%_classif - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b1_50%_classif - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b1_50%_classif - gaussian_total_correlation_norm all phoneme speaker_frame__MAX","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MIN","final_TIMIT_ewt_dual_NoC4_b1_50% - gaussian_total_correlation_norm all phoneme speaker_frame__MAX"
"9","","","","","","","","","","0.18442634080345358","0.18442634080345358","0.18442634080345358","0.13733527730862047","0.13733527730862047","0.13733527730862047","","","","","",""
"14","0.13022968318524478","0.13022968318524478","0.13022968318524478","0.16512323452585437","0.16512323452585437","0.16512323452585437","0.1303678811259551","0.1303678811259551","0.1303678811259551","","","","","","","0.18442634080345358","0.18442634080345358","0.18442634080345358","0.18571509097028122","0.18571509097028122","0.18571509097028122"
