"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - prior_loss_z","VOWELS_FILTER_b5_dual_waveform_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - prior_loss_z","VOWELS_FILTER_b1_dual_waveform_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - prior_loss_z","VOWELS_FILTER_b0.1_dual_waveform_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - prior_loss_z","VOWELS_FILTER_b0_dual_waveform_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_z__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_z","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_z__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_z__MAX"
"0","198.55560302734375","198.55560302734375","198.55560302734375","43.128719329833984","43.128719329833984","43.128719329833984","5.667060852050781","5.667060852050781","5.667060852050781","0","0","0","0","0","0","5.279829502105713","5.279829502105713","5.279829502105713","41.21549606323242","41.21549606323242","41.21549606323242","194.72225952148438","194.72225952148438","194.72225952148438"
"2","57.2075080871582","57.2075080871582","57.2075080871582","18.733741760253906","18.733741760253906","18.733741760253906","3.722651481628418","3.722651481628418","3.722651481628418","0","0","0","0","0","0","3.660175323486328","3.660175323486328","3.660175323486328","22.048259735107422","22.048259735107422","22.048259735107422","83.31423950195312","83.31423950195312","83.31423950195312"
"4","17.67793083190918","17.67793083190918","17.67793083190918","7.83544921875","7.83544921875","7.83544921875","2.2246642112731934","2.2246642112731934","2.2246642112731934","0","0","0","0","0","0","2.35023832321167","2.35023832321167","2.35023832321167","10.177384376525879","10.177384376525879","10.177384376525879","30.79208755493164","30.79208755493164","30.79208755493164"
"6","6.561406135559082","6.561406135559082","6.561406135559082","3.589423179626465","3.589423179626465","3.589423179626465","1.4816746711730957","1.4816746711730957","1.4816746711730957","0","0","0","0","0","0","1.5564340353012085","1.5564340353012085","1.5564340353012085","5.318032264709473","5.318032264709473","5.318032264709473","14.62858772277832","14.62858772277832","14.62858772277832"
"8","2.8879024982452393","2.8879024982452393","2.8879024982452393","1.9033172130584717","1.9033172130584717","1.9033172130584717","0.81151282787323","0.81151282787323","0.81151282787323","0","0","0","0","0","0","0.9020625352859497","0.9020625352859497","0.9020625352859497","2.566483497619629","2.566483497619629","2.566483497619629","5.772988319396973","5.772988319396973","5.772988319396973"
"10","2.647660970687866","2.647660970687866","2.647660970687866","1.1432093381881714","1.1432093381881714","1.1432093381881714","0.46455973386764526","0.46455973386764526","0.46455973386764526","0","0","0","0","0","0","0.5770427584648132","0.5770427584648132","0.5770427584648132","1.6093811988830566","1.6093811988830566","1.6093811988830566","3.143787384033203","3.143787384033203","3.143787384033203"
"12","1.354739785194397","1.354739785194397","1.354739785194397","0.7474649548530579","0.7474649548530579","0.7474649548530579","0.28686678409576416","0.28686678409576416","0.28686678409576416","0","0","0","0","0","0","0.3849264979362488","0.3849264979362488","0.3849264979362488","0.9724855422973633","0.9724855422973633","0.9724855422973633","2.02929425239563","2.02929425239563","2.02929425239563"
"14","0.7991898655891418","0.7991898655891418","0.7991898655891418","0.48295989632606506","0.48295989632606506","0.48295989632606506","0.18007811903953552","0.18007811903953552","0.18007811903953552","0","0","0","0","0","0","0.2593768835067749","0.2593768835067749","0.2593768835067749","0.6916904449462891","0.6916904449462891","0.6916904449462891","1.6502212285995483","1.6502212285995483","1.6502212285995483"
"16","1.6847871541976929","1.6847871541976929","1.6847871541976929","0.37868940830230713","0.37868940830230713","0.37868940830230713","0.12507683038711548","0.12507683038711548","0.12507683038711548","0","0","0","0","0","0","0.1951393187046051","0.1951393187046051","0.1951393187046051","0.6612208485603333","0.6612208485603333","0.6612208485603333","1.2622300386428833","1.2622300386428833","1.2622300386428833"
"18","2.1484251022338867","2.1484251022338867","2.1484251022338867","0.276090145111084","0.276090145111084","0.276090145111084","0.07832799106836319","0.07832799106836319","0.07832799106836319","0","0","0","0","0","0","0.12971532344818115","0.12971532344818115","0.12971532344818115","0.3739883005619049","0.3739883005619049","0.3739883005619049","1.1826432943344116","1.1826432943344116","1.1826432943344116"
"20","11.199317932128906","11.199317932128906","11.199317932128906","0.6775396466255188","0.6775396466255188","0.6775396466255188","0.05093277245759964","0.05093277245759964","0.05093277245759964","0","0","0","0","0","0","0.10564403235912323","0.10564403235912323","0.10564403235912323","0.3218468427658081","0.3218468427658081","0.3218468427658081","1.316536545753479","1.316536545753479","1.316536545753479"
"22","1.108702301979065","1.108702301979065","1.108702301979065","0.1601625233888626","0.1601625233888626","0.1601625233888626","0.03634060174226761","0.03634060174226761","0.03634060174226761","0","0","0","0","0","0","0.08502501994371414","0.08502501994371414","0.08502501994371414","0.2653402090072632","0.2653402090072632","0.2653402090072632","0.9592682123184204","0.9592682123184204","0.9592682123184204"
"24","0.365198016166687","0.365198016166687","0.365198016166687","0.12744471430778503","0.12744471430778503","0.12744471430778503","0.026250585913658142","0.026250585913658142","0.026250585913658142","0","0","0","0","0","0","0.06848575174808502","0.06848575174808502","0.06848575174808502","0.2097395807504654","0.2097395807504654","0.2097395807504654","0.8596606254577637","0.8596606254577637","0.8596606254577637"
"26","0.24887286126613617","0.24887286126613617","0.24887286126613617","0.1489318162202835","0.1489318162202835","0.1489318162202835","0.03704731911420822","0.03704731911420822","0.03704731911420822","0","0","0","0","0","0","0.057833097875118256","0.057833097875118256","0.057833097875118256","0.25379276275634766","0.25379276275634766","0.25379276275634766","0.9420972466468811","0.9420972466468811","0.9420972466468811"
