"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - cross_entropy_positive_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - cross_entropy_positive_s__MAX"
"56","0.3137487471103668","0.3137487471103668","0.3137487471103668","0.7817298173904419","0.7817298173904419","0.7817298173904419","1.0255508422851562","1.0255508422851562","1.0255508422851562","1.2044568061828613","1.2044568061828613","1.2044568061828613","1.190641164779663","1.190641164779663","1.190641164779663","1.091261625289917","1.091261625289917","1.091261625289917","0.3660139739513397","0.3660139739513397","0.3660139739513397","0.276081383228302","0.276081383228302","0.276081383228302"
"58","0.3516618609428406","0.3516618609428406","0.3516618609428406","0.8675962090492249","0.8675962090492249","0.8675962090492249","1.125504732131958","1.125504732131958","1.125504732131958","1.1941473484039307","1.1941473484039307","1.1941473484039307","1.1999194622039795","1.1999194622039795","1.1999194622039795","1.0555968284606934","1.0555968284606934","1.0555968284606934","0.49147942662239075","0.49147942662239075","0.49147942662239075","0.3084879517555237","0.3084879517555237","0.3084879517555237"
"60","0.32482630014419556","0.32482630014419556","0.32482630014419556","0.7730914354324341","0.7730914354324341","0.7730914354324341","1.1074812412261963","1.1074812412261963","1.1074812412261963","1.2438695430755615","1.2438695430755615","1.2438695430755615","1.203194260597229","1.203194260597229","1.203194260597229","1.0980095863342285","1.0980095863342285","1.0980095863342285","0.45754802227020264","0.45754802227020264","0.45754802227020264","0.30350589752197266","0.30350589752197266","0.30350589752197266"
"62","0.38719063997268677","0.38719063997268677","0.38719063997268677","0.8849217891693115","0.8849217891693115","0.8849217891693115","1.0964982509613037","1.0964982509613037","1.0964982509613037","1.1827404499053955","1.1827404499053955","1.1827404499053955","1.1589694023132324","1.1589694023132324","1.1589694023132324","1.0473308563232422","1.0473308563232422","1.0473308563232422","0.5420309901237488","0.5420309901237488","0.5420309901237488","0.3380589783191681","0.3380589783191681","0.3380589783191681"
"64","0.4037807583808899","0.4037807583808899","0.4037807583808899","0.8469949960708618","0.8469949960708618","0.8469949960708618","1.0802899599075317","1.0802899599075317","1.0802899599075317","1.1980003118515015","1.1980003118515015","1.1980003118515015","1.1951185464859009","1.1951185464859009","1.1951185464859009","1.0618462562561035","1.0618462562561035","1.0618462562561035","0.5541251301765442","0.5541251301765442","0.5541251301765442","0.34981727600097656","0.34981727600097656","0.34981727600097656"
"66","0.43779322504997253","0.43779322504997253","0.43779322504997253","0.8610921502113342","0.8610921502113342","0.8610921502113342","1.093847632408142","1.093847632408142","1.093847632408142","1.1572105884552002","1.1572105884552002","1.1572105884552002","1.1569280624389648","1.1569280624389648","1.1569280624389648","1.0626704692840576","1.0626704692840576","1.0626704692840576","0.5771815776824951","0.5771815776824951","0.5771815776824951","0.3689021170139313","0.3689021170139313","0.3689021170139313"
"68","0.38354700803756714","0.38354700803756714","0.38354700803756714","0.7873916029930115","0.7873916029930115","0.7873916029930115","1.0719777345657349","1.0719777345657349","1.0719777345657349","1.190462589263916","1.190462589263916","1.190462589263916","1.1993228197097778","1.1993228197097778","1.1993228197097778","1.0272343158721924","1.0272343158721924","1.0272343158721924","0.5720654726028442","0.5720654726028442","0.5720654726028442","0.3512246012687683","0.3512246012687683","0.3512246012687683"
"70","0.41832008957862854","0.41832008957862854","0.41832008957862854","0.8257848024368286","0.8257848024368286","0.8257848024368286","1.0671679973602295","1.0671679973602295","1.0671679973602295","1.1806923151016235","1.1806923151016235","1.1806923151016235","1.1365584135055542","1.1365584135055542","1.1365584135055542","1.0586796998977661","1.0586796998977661","1.0586796998977661","0.5715177059173584","0.5715177059173584","0.5715177059173584","0.3551446199417114","0.3551446199417114","0.3551446199417114"
"72","0.42288121581077576","0.42288121581077576","0.42288121581077576","0.8467551469802856","0.8467551469802856","0.8467551469802856","1.0840883255004883","1.0840883255004883","1.0840883255004883","1.1779910326004028","1.1779910326004028","1.1779910326004028","1.1894795894622803","1.1894795894622803","1.1894795894622803","1.0376677513122559","1.0376677513122559","1.0376677513122559","0.6363397836685181","0.6363397836685181","0.6363397836685181","0.3696909248828888","0.3696909248828888","0.3696909248828888"
"74","0.4666413962841034","0.4666413962841034","0.4666413962841034","0.8589226007461548","0.8589226007461548","0.8589226007461548","1.0591412782669067","1.0591412782669067","1.0591412782669067","1.1906170845031738","1.1906170845031738","1.1906170845031738","1.1895447969436646","1.1895447969436646","1.1895447969436646","1.0404183864593506","1.0404183864593506","1.0404183864593506","0.6238172054290771","0.6238172054290771","0.6238172054290771","0.3820157051086426","0.3820157051086426","0.3820157051086426"
"76","0.45927807688713074","0.45927807688713074","0.45927807688713074","0.8578462600708008","0.8578462600708008","0.8578462600708008","1.1207671165466309","1.1207671165466309","1.1207671165466309","1.151474952697754","1.151474952697754","1.151474952697754","1.1524772644042969","1.1524772644042969","1.1524772644042969","1.102189540863037","1.102189540863037","1.102189540863037","0.6693514585494995","0.6693514585494995","0.6693514585494995","0.3914889693260193","0.3914889693260193","0.3914889693260193"
"78","0.4749475121498108","0.4749475121498108","0.4749475121498108","0.8399344682693481","0.8399344682693481","0.8399344682693481","1.091794490814209","1.091794490814209","1.091794490814209","1.1967341899871826","1.1967341899871826","1.1967341899871826","1.1697664260864258","1.1697664260864258","1.1697664260864258","1.091710090637207","1.091710090637207","1.091710090637207","0.7346011996269226","0.7346011996269226","0.7346011996269226","0.4123173654079437","0.4123173654079437","0.4123173654079437"
"80","0.4733513295650482","0.4733513295650482","0.4733513295650482","0.835181713104248","0.835181713104248","0.835181713104248","1.0690258741378784","1.0690258741378784","1.0690258741378784","1.1556648015975952","1.1556648015975952","1.1556648015975952","1.1650958061218262","1.1650958061218262","1.1650958061218262","1.0566974878311157","1.0566974878311157","1.0566974878311157","0.7900930643081665","0.7900930643081665","0.7900930643081665","0.4054635167121887","0.4054635167121887","0.4054635167121887"
"82","0.473132461309433","0.473132461309433","0.473132461309433","0.884968638420105","0.884968638420105","0.884968638420105","1.1254957914352417","1.1254957914352417","1.1254957914352417","1.1509888172149658","1.1509888172149658","1.1509888172149658","1.1621267795562744","1.1621267795562744","1.1621267795562744","1.100771427154541","1.100771427154541","1.100771427154541","0.764428973197937","0.764428973197937","0.764428973197937","0.3825019598007202","0.3825019598007202","0.3825019598007202"
"84","0.45797258615493774","0.45797258615493774","0.45797258615493774","0.8767386078834534","0.8767386078834534","0.8767386078834534","1.1160192489624023","1.1160192489624023","1.1160192489624023","1.1906168460845947","1.1906168460845947","1.1906168460845947","1.1796139478683472","1.1796139478683472","1.1796139478683472","1.087817907333374","1.087817907333374","1.087817907333374","0.7826897501945496","0.7826897501945496","0.7826897501945496","0.3971158266067505","0.3971158266067505","0.3971158266067505"
"86","0.480245977640152","0.480245977640152","0.480245977640152","0.8467435836791992","0.8467435836791992","0.8467435836791992","1.0714185237884521","1.0714185237884521","1.0714185237884521","1.1758418083190918","1.1758418083190918","1.1758418083190918","1.149062991142273","1.149062991142273","1.149062991142273","1.1128791570663452","1.1128791570663452","1.1128791570663452","0.782344400882721","0.782344400882721","0.782344400882721","0.41248050332069397","0.41248050332069397","0.41248050332069397"
"88","0.46310168504714966","0.46310168504714966","0.46310168504714966","0.8605032563209534","0.8605032563209534","0.8605032563209534","1.0532371997833252","1.0532371997833252","1.0532371997833252","1.2803605794906616","1.2803605794906616","1.2803605794906616","1.278243064880371","1.278243064880371","1.278243064880371","1.0461220741271973","1.0461220741271973","1.0461220741271973","0.7748046517372131","0.7748046517372131","0.7748046517372131","0.3580820560455322","0.3580820560455322","0.3580820560455322"
"90","0.533222496509552","0.533222496509552","0.533222496509552","0.9515146017074585","0.9515146017074585","0.9515146017074585","1.1485377550125122","1.1485377550125122","1.1485377550125122","1.1590561866760254","1.1590561866760254","1.1590561866760254","1.1679035425186157","1.1679035425186157","1.1679035425186157","1.1122349500656128","1.1122349500656128","1.1122349500656128","0.8781079053878784","0.8781079053878784","0.8781079053878784","0.4197033643722534","0.4197033643722534","0.4197033643722534"
"92","0.5332330465316772","0.5332330465316772","0.5332330465316772","0.918606162071228","0.918606162071228","0.918606162071228","1.102948784828186","1.102948784828186","1.102948784828186","1.1772218942642212","1.1772218942642212","1.1772218942642212","1.208540439605713","1.208540439605713","1.208540439605713","1.0690202713012695","1.0690202713012695","1.0690202713012695","0.8968271017074585","0.8968271017074585","0.8968271017074585","0.41962042450904846","0.41962042450904846","0.41962042450904846"
"94","0.5394518375396729","0.5394518375396729","0.5394518375396729","0.9040729999542236","0.9040729999542236","0.9040729999542236","1.1200861930847168","1.1200861930847168","1.1200861930847168","1.1589469909667969","1.1589469909667969","1.1589469909667969","1.1613574028015137","1.1613574028015137","1.1613574028015137","1.096342921257019","1.096342921257019","1.096342921257019","0.8988777995109558","0.8988777995109558","0.8988777995109558","0.4204375445842743","0.4204375445842743","0.4204375445842743"
"96","0.5494229197502136","0.5494229197502136","0.5494229197502136","0.8859228491783142","0.8859228491783142","0.8859228491783142","1.0830082893371582","1.0830082893371582","1.0830082893371582","1.1921195983886719","1.1921195983886719","1.1921195983886719","1.1560063362121582","1.1560063362121582","1.1560063362121582","1.0926978588104248","1.0926978588104248","1.0926978588104248","0.8840886354446411","0.8840886354446411","0.8840886354446411","0.4284486472606659","0.4284486472606659","0.4284486472606659"
"98","0.5856178998947144","0.5856178998947144","0.5856178998947144","0.8889801502227783","0.8889801502227783","0.8889801502227783","1.076645851135254","1.076645851135254","1.076645851135254","1.2298859357833862","1.2298859357833862","1.2298859357833862","1.1854504346847534","1.1854504346847534","1.1854504346847534","1.0931847095489502","1.0931847095489502","1.0931847095489502","0.9216423630714417","0.9216423630714417","0.9216423630714417","0.44739970564842224","0.44739970564842224","0.44739970564842224"
"100","0.5782867074012756","0.5782867074012756","0.5782867074012756","0.9117813110351562","0.9117813110351562","0.9117813110351562","1.1233817338943481","1.1233817338943481","1.1233817338943481","1.1781073808670044","1.1781073808670044","1.1781073808670044","1.1632349491119385","1.1632349491119385","1.1632349491119385","1.1147539615631104","1.1147539615631104","1.1147539615631104","0.8533623814582825","0.8533623814582825","0.8533623814582825","0.43429189920425415","0.43429189920425415","0.43429189920425415"
"102","0.5987333059310913","0.5987333059310913","0.5987333059310913","0.9270471334457397","0.9270471334457397","0.9270471334457397","1.1025633811950684","1.1025633811950684","1.1025633811950684","1.1964764595031738","1.1964764595031738","1.1964764595031738","1.1938680410385132","1.1938680410385132","1.1938680410385132","1.0999959707260132","1.0999959707260132","1.0999959707260132","0.885838508605957","0.885838508605957","0.885838508605957","0.4460703134536743","0.4460703134536743","0.4460703134536743"
"104","0.5852625966072083","0.5852625966072083","0.5852625966072083","0.891069769859314","0.891069769859314","0.891069769859314","1.085903286933899","1.085903286933899","1.085903286933899","1.1953630447387695","1.1953630447387695","1.1953630447387695","1.1899685859680176","1.1899685859680176","1.1899685859680176","1.1113604307174683","1.1113604307174683","1.1113604307174683","0.8047682046890259","0.8047682046890259","0.8047682046890259","0.43427667021751404","0.43427667021751404","0.43427667021751404"
"106","0.6401485204696655","0.6401485204696655","0.6401485204696655","0.9242219924926758","0.9242219924926758","0.9242219924926758","1.098455786705017","1.098455786705017","1.098455786705017","1.1941673755645752","1.1941673755645752","1.1941673755645752","1.1914808750152588","1.1914808750152588","1.1914808750152588","1.1114976406097412","1.1114976406097412","1.1114976406097412","0.8087509870529175","0.8087509870529175","0.8087509870529175","0.47861623764038086","0.47861623764038086","0.47861623764038086"
"108","0.6088340282440186","0.6088340282440186","0.6088340282440186","0.896374523639679","0.896374523639679","0.896374523639679","1.0848089456558228","1.0848089456558228","1.0848089456558228","1.204235315322876","1.204235315322876","1.204235315322876","1.1471165418624878","1.1471165418624878","1.1471165418624878","1.1013550758361816","1.1013550758361816","1.1013550758361816","0.800074577331543","0.800074577331543","0.800074577331543","0.4412229359149933","0.4412229359149933","0.4412229359149933"
