"Step","VOWELS_FILTER_b5_dual_waveform_bs16 - prior_loss_s","VOWELS_FILTER_b5_dual_waveform_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b5_dual_waveform_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b1_dual_waveform_bs16 - prior_loss_s","VOWELS_FILTER_b1_dual_waveform_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_dual_waveform_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0.1_dual_waveform_bs16 - prior_loss_s","VOWELS_FILTER_b0.1_dual_waveform_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0.1_dual_waveform_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0_dual_waveform_bs16 - prior_loss_s","VOWELS_FILTER_b0_dual_waveform_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0_dual_waveform_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b0.1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_b1_DUAL_bs16 - prior_loss_s__MAX","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_s","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_s__MIN","VOWELS_FILTER_B5_DEFAULTS_DUAL_bs16 - prior_loss_s__MAX"
"0","115.55801391601562","115.55801391601562","115.55801391601562","30.639892578125","30.639892578125","30.639892578125","11.210055351257324","11.210055351257324","11.210055351257324","0","0","0","0","0","0","8.062528610229492","8.062528610229492","8.062528610229492","28.70149040222168","28.70149040222168","28.70149040222168","122.12191772460938","122.12191772460938","122.12191772460938"
"2","22.799476623535156","22.799476623535156","22.799476623535156","6.946000576019287","6.946000576019287","6.946000576019287","2.703195095062256","2.703195095062256","2.703195095062256","0","0","0","0","0","0","1.6742926836013794","1.6742926836013794","1.6742926836013794","5.480450630187988","5.480450630187988","5.480450630187988","25.212154388427734","25.212154388427734","25.212154388427734"
"4","15.188008308410645","15.188008308410645","15.188008308410645","3.7531137466430664","3.7531137466430664","3.7531137466430664","1.3451645374298096","1.3451645374298096","1.3451645374298096","0","0","0","0","0","0","1.1505153179168701","1.1505153179168701","1.1505153179168701","2.8575778007507324","2.8575778007507324","2.8575778007507324","12.318163871765137","12.318163871765137","12.318163871765137"
"6","12.27743911743164","12.27743911743164","12.27743911743164","2.4265317916870117","2.4265317916870117","2.4265317916870117","1.1678364276885986","1.1678364276885986","1.1678364276885986","0","0","0","0","0","0","1.2059440612792969","1.2059440612792969","1.2059440612792969","2.8274803161621094","2.8274803161621094","2.8274803161621094","18.779069900512695","18.779069900512695","18.779069900512695"
"8","13.6094388961792","13.6094388961792","13.6094388961792","1.9486308097839355","1.9486308097839355","1.9486308097839355","0.7944568991661072","0.7944568991661072","0.7944568991661072","0","0","0","0","0","0","0.7431864738464355","0.7431864738464355","0.7431864738464355","2.245572090148926","2.245572090148926","2.245572090148926","8.921697616577148","8.921697616577148","8.921697616577148"
"10","12.135624885559082","12.135624885559082","12.135624885559082","2.333876609802246","2.333876609802246","2.333876609802246","0.5362838506698608","0.5362838506698608","0.5362838506698608","0","0","0","0","0","0","0.8388468623161316","0.8388468623161316","0.8388468623161316","3.6414413452148438","3.6414413452148438","3.6414413452148438","10.930374145507812","10.930374145507812","10.930374145507812"
"12","5.710855007171631","5.710855007171631","5.710855007171631","2.128159999847412","2.128159999847412","2.128159999847412","0.6116300821304321","0.6116300821304321","0.6116300821304321","0","0","0","0","0","0","0.7974055409431458","0.7974055409431458","0.7974055409431458","4.834053039550781","4.834053039550781","4.834053039550781","15.07905101776123","15.07905101776123","15.07905101776123"
"14","13.317450523376465","13.317450523376465","13.317450523376465","2.606532096862793","2.606532096862793","2.606532096862793","0.49904465675354004","0.49904465675354004","0.49904465675354004","0","0","0","0","0","0","0.3704744577407837","0.3704744577407837","0.3704744577407837","3.9996862411499023","3.9996862411499023","3.9996862411499023","10.20820426940918","10.20820426940918","10.20820426940918"
"16","13.558119773864746","13.558119773864746","13.558119773864746","2.3179798126220703","2.3179798126220703","2.3179798126220703","0.47738999128341675","0.47738999128341675","0.47738999128341675","0","0","0","0","0","0","0.25664806365966797","0.25664806365966797","0.25664806365966797","2.81362247467041","2.81362247467041","2.81362247467041","12.364506721496582","12.364506721496582","12.364506721496582"
"18","12.70011043548584","12.70011043548584","12.70011043548584","2.8968214988708496","2.8968214988708496","2.8968214988708496","0.19808918237686157","0.19808918237686157","0.19808918237686157","0","0","0","0","0","0","0.29983431100845337","0.29983431100845337","0.29983431100845337","6.670811653137207","6.670811653137207","6.670811653137207","17.850339889526367","17.850339889526367","17.850339889526367"
