"Step","final_TIMIT_filter_dual_NoC4_b0_40% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_40% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_40% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_30% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_30% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_30% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_10% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_10% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_10% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_20% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_20% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_20% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_60% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_60% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_60% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_80% - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_80% - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_80% - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - completeness all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - completeness all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - completeness all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - completeness all phoneme speaker_frame__MAX"
"8","0.07696968683395727","0.07696968683395727","0.07696968683395727","0.07708488808711464","0.07708488808711464","0.07708488808711464","0.06061960909106516","0.06061960909106516","0.06061960909106516","0.07935413078476183","0.07935413078476183","0.07935413078476183","0.08022179089784547","0.08022179089784547","0.08022179089784547","0.07513188160313741","0.07513188160313741","0.07513188160313741","","","","","","","","",""
"11","","","","","","","","","","","","","","","","","","","0.0844628556241197","0.0844628556241197","0.0844628556241197","0.07113153299822741","0.07113153299822741","0.07113153299822741","0.07402245845304523","0.07402245845304523","0.07402245845304523"
