"Step","final_TIMIT_filter_dual_NoC4_b0_40% - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_40% - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_40% - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_30% - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_30% - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_30% - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_10% - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_10% - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_10% - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_20% - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_20% - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_20% - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_60% - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_60% - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_60% - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_80% - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_80% - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_80% - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - IRS all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - IRS all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - IRS all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - IRS all phoneme speaker_frame__MAX"
"9","0.6248568675231906","0.6248568675231906","0.6248568675231906","0.6136717505129043","0.6136717505129043","0.6136717505129043","0.4402402850879068","0.4402402850879068","0.4402402850879068","0.6642804790633615","0.6642804790633615","0.6642804790633615","0.6296834633058784","0.6296834633058784","0.6296834633058784","0.6279794071518666","0.6279794071518666","0.6279794071518666","","","","","","","","",""
"15","","","","","","","","","","","","","","","","","","","0.6400750913857393","0.6400750913857393","0.6400750913857393","0.6250569014446874","0.6250569014446874","0.6250569014446874","0.6382502398581551","0.6382502398581551","0.6382502398581551"
