"Step","final_TIMIT_filter_dual_NoC4_b0_40% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_40% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_40% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_30% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_30% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_30% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_10% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_10% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_10% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_20% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_20% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_20% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_60% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_60% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_60% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_80% - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_80% - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_80% - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_90%_PART2 - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_50%_PART2 - modularity_score all phoneme speaker_frame__MAX","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - modularity_score all phoneme speaker_frame","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - modularity_score all phoneme speaker_frame__MIN","final_TIMIT_filter_dual_NoC4_b0_70%_PART2 - modularity_score all phoneme speaker_frame__MAX"
"10","0.5932139734813824","0.5932139734813824","0.5932139734813824","0.5542622246883677","0.5542622246883677","0.5542622246883677","0.587096301667551","0.587096301667551","0.587096301667551","0.5875275209253351","0.5875275209253351","0.5875275209253351","0.652415471976713","0.652415471976713","0.652415471976713","0.6071582761121588","0.6071582761121588","0.6071582761121588","","","","","","","","",""
"16","","","","","","","","","","","","","","","","","","","0.6799071050067246","0.6799071050067246","0.6799071050067246","0.6571829458014178","0.6571829458014178","0.6571829458014178","0.6465564731282011","0.6465564731282011","0.6465564731282011"
