"Step","VOWELS_FILTER_b1_Z_bs16 - prior_loss_z","VOWELS_FILTER_b1_Z_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b1_Z_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0.1_Z_bs16 - prior_loss_z","VOWELS_FILTER_b0.1_Z_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0.1_Z_bs16 - prior_loss_z__MAX","VOWELS_FILTER_b0_Z_bs16 - prior_loss_z","VOWELS_FILTER_b0_Z_bs16 - prior_loss_z__MIN","VOWELS_FILTER_b0_Z_bs16 - prior_loss_z__MAX"
"0","41.48977279663086","41.48977279663086","41.48977279663086","4.635894775390625","4.635894775390625","4.635894775390625","0","0","0"
"2","20.283926010131836","20.283926010131836","20.283926010131836","2.6522936820983887","2.6522936820983887","2.6522936820983887","0","0","0"
"4","8.25556755065918","8.25556755065918","8.25556755065918","1.375619649887085","1.375619649887085","1.375619649887085","0","0","0"
"6","3.73205304145813","3.73205304145813","3.73205304145813","0.6839355230331421","0.6839355230331421","0.6839355230331421","0","0","0"
"8","1.8579933643341064","1.8579933643341064","1.8579933643341064","0.412361741065979","0.412361741065979","0.412361741065979","0","0","0"
"10","1.0172309875488281","1.0172309875488281","1.0172309875488281","0.21792566776275635","0.21792566776275635","0.21792566776275635","0","0","0"
"12","0.9279826283454895","0.9279826283454895","0.9279826283454895","0.17206627130508423","0.17206627130508423","0.17206627130508423","0","0","0"
"14","0.49514836072921753","0.49514836072921753","0.49514836072921753","0.09145883470773697","0.09145883470773697","0.09145883470773697","0","0","0"
"16","0.3684479594230652","0.3684479594230652","0.3684479594230652","0.07578013837337494","0.07578013837337494","0.07578013837337494","0","0","0"
"18","0.3057813048362732","0.3057813048362732","0.3057813048362732","0.06163548678159714","0.06163548678159714","0.06163548678159714","0","0","0"
"20","0.2773023247718811","0.2773023247718811","0.2773023247718811","0.047126442193984985","0.047126442193984985","0.047126442193984985","0","0","0"
"22","0.2875727415084839","0.2875727415084839","0.2875727415084839","0.04789840430021286","0.04789840430021286","0.04789840430021286","0","0","0"
"24","0.18049679696559906","0.18049679696559906","0.18049679696559906","0.041401736438274384","0.041401736438274384","0.041401736438274384","0","0","0"
"26","0.13778530061244965","0.13778530061244965","0.13778530061244965","0.09156016260385513","0.09156016260385513","0.09156016260385513","0","0","0"
"28","0.14097817242145538","0.14097817242145538","0.14097817242145538","0.027518630027770996","0.027518630027770996","0.027518630027770996","0","0","0"
"30","0.13312168419361115","0.13312168419361115","0.13312168419361115","0.04849793761968613","0.04849793761968613","0.04849793761968613","0","0","0"
"32","0.16434893012046814","0.16434893012046814","0.16434893012046814","0.039572104811668396","0.039572104811668396","0.039572104811668396","0","0","0"
"34","0.21099120378494263","0.21099120378494263","0.21099120378494263","0.10878714174032211","0.10878714174032211","0.10878714174032211","0","0","0"
"36","0.09929299354553223","0.09929299354553223","0.09929299354553223","0.029583193361759186","0.029583193361759186","0.029583193361759186","0","0","0"
"38","0.12982286512851715","0.12982286512851715","0.12982286512851715","0.029378741979599","0.029378741979599","0.029378741979599","0","0","0"
"40","0.13521917164325714","0.13521917164325714","0.13521917164325714","0.08104011416435242","0.08104011416435242","0.08104011416435242","0","0","0"
"42","0.15809103846549988","0.15809103846549988","0.15809103846549988","0.05729134380817413","0.05729134380817413","0.05729134380817413","0","0","0"
"44","0.12059196829795837","0.12059196829795837","0.12059196829795837","0.02707093209028244","0.02707093209028244","0.02707093209028244","0","0","0"
"46","0.18461547791957855","0.18461547791957855","0.18461547791957855","0.01244758814573288","0.01244758814573288","0.01244758814573288","0","0","0"
"48","0.06853707134723663","0.06853707134723663","0.06853707134723663","0.037509314715862274","0.037509314715862274","0.037509314715862274","0","0","0"
"50","0.06257660686969757","0.06257660686969757","0.06257660686969757","0.01259150356054306","0.01259150356054306","0.01259150356054306","0","0","0"
"52","0.1637139916419983","0.1637139916419983","0.1637139916419983","0.03274361789226532","0.03274361789226532","0.03274361789226532","0","0","0"
"54","0.4282621145248413","0.4282621145248413","0.4282621145248413","0.09259289503097534","0.09259289503097534","0.09259289503097534","0","0","0"
"56","0.03638923168182373","0.03638923168182373","0.03638923168182373","0.02352004498243332","0.02352004498243332","0.02352004498243332","0","0","0"
"58","0.09656302630901337","0.09656302630901337","0.09656302630901337","0.02697160094976425","0.02697160094976425","0.02697160094976425","0","0","0"
"60","0.07598258554935455","0.07598258554935455","0.07598258554935455","0.018087901175022125","0.018087901175022125","0.018087901175022125","0","0","0"
"62","0.8945645093917847","0.8945645093917847","0.8945645093917847","0.04924789071083069","0.04924789071083069","0.04924789071083069","0","0","0"
"64","0.042215436697006226","0.042215436697006226","0.042215436697006226","0.02099110186100006","0.02099110186100006","0.02099110186100006","0","0","0"
"66","0.054315775632858276","0.054315775632858276","0.054315775632858276","0.04356738179922104","0.04356738179922104","0.04356738179922104","0","0","0"
"68","0.06125636398792267","0.06125636398792267","0.06125636398792267","0.010197557508945465","0.010197557508945465","0.010197557508945465","0","0","0"
"70","0.07309429347515106","0.07309429347515106","0.07309429347515106","0.013329289853572845","0.013329289853572845","0.013329289853572845","0","0","0"
"72","0.07117457687854767","0.07117457687854767","0.07117457687854767","0.016743354499340057","0.016743354499340057","0.016743354499340057","0","0","0"
"74","0.06887830793857574","0.06887830793857574","0.06887830793857574","0.023522324860095978","0.023522324860095978","0.023522324860095978","0","0","0"
"76","0.046613290905952454","0.046613290905952454","0.046613290905952454","0.011889062821865082","0.011889062821865082","0.011889062821865082","0","0","0"
"78","0.0419297069311142","0.0419297069311142","0.0419297069311142","0.04983878135681152","0.04983878135681152","0.04983878135681152","0","0","0"
"80","0.18294863402843475","0.18294863402843475","0.18294863402843475","0.01401595026254654","0.01401595026254654","0.01401595026254654","0","0","0"
"82","0.20048975944519043","0.20048975944519043","0.20048975944519043","0.013081811368465424","0.013081811368465424","0.013081811368465424","0","0","0"
"84","0.020130127668380737","0.020130127668380737","0.020130127668380737","0.008933119475841522","0.008933119475841522","0.008933119475841522","0","0","0"
"86","0.042235925793647766","0.042235925793647766","0.042235925793647766","0.03474535048007965","0.03474535048007965","0.03474535048007965","0","0","0"
"88","0.07991209626197815","0.07991209626197815","0.07991209626197815","0.003495529294013977","0.003495529294013977","0.003495529294013977","0","0","0"
"90","0.029801055788993835","0.029801055788993835","0.029801055788993835","0.014204651117324829","0.014204651117324829","0.014204651117324829","0","0","0"
"92","0.3185264766216278","0.3185264766216278","0.3185264766216278","0.13541673123836517","0.13541673123836517","0.13541673123836517","0","0","0"
"94","0.02890460193157196","0.02890460193157196","0.02890460193157196","0.012227989733219147","0.012227989733219147","0.012227989733219147","0","0","0"
"96","0.05908355116844177","0.05908355116844177","0.05908355116844177","0.00809478759765625","0.00809478759765625","0.00809478759765625","0","0","0"
"98","0.0954803079366684","0.0954803079366684","0.0954803079366684","0.00874301791191101","0.00874301791191101","0.00874301791191101","0","0","0"
"100","0.0877552479505539","0.0877552479505539","0.0877552479505539","0.018285460770130157","0.018285460770130157","0.018285460770130157","0","0","0"
"102","0.020725876092910767","0.020725876092910767","0.020725876092910767","0.011222563683986664","0.011222563683986664","0.011222563683986664","0","0","0"
"104","0.07960394024848938","0.07960394024848938","0.07960394024848938","0.016895003616809845","0.016895003616809845","0.016895003616809845","0","0","0"
"106","0.031184479594230652","0.031184479594230652","0.031184479594230652","0.011686712503433228","0.011686712503433228","0.011686712503433228","0","0","0"
"108","0.05424916744232178","0.05424916744232178","0.05424916744232178","0.060092851519584656","0.060092851519584656","0.060092851519584656","0","0","0"
"110","0.1108463853597641","0.1108463853597641","0.1108463853597641","0.02092059701681137","0.02092059701681137","0.02092059701681137","0","0","0"
